strategy,horizon_years,block_days,metric,statistic,value
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,p50,0.1177977321
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,p90,0.1585509934
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,p95,0.1701708454
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,mean,0.1185803025
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,p5,7.572043015
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,p10,9.837773365
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,p50,28.24638942
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,p90,82.70697598
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,p95,111.5762228
LEAPS_80_25_TREASURY_ROLL_9M,30,63,terminal_wealth,mean,40.00059924
LEAPS_80_25_TREASURY,30,63,cagr,p5,0.07014075547
LEAPS_80_25_TREASURY,30,63,cagr,p10,0.08073378531
LEAPS_80_25_TREASURY,30,63,cagr,p50,0.1201350522
LEAPS_80_25_TREASURY,30,63,cagr,p90,0.1611110032
LEAPS_80_25_TREASURY,30,63,cagr,p95,0.1726321753
LEAPS_80_25_TREASURY,30,63,cagr,mean,0.1206014259
LEAPS_80_25_TREASURY,30,63,terminal_wealth,p5,7.643062994
LEAPS_80_25_TREASURY,30,63,terminal_wealth,p10,10.27089129
LEAPS_80_25_TREASURY,30,63,terminal_wealth,p50,30.07316107
LEAPS_80_25_TREASURY,30,63,terminal_wealth,p90,88.36923194
LEAPS_80_25_TREASURY,30,63,terminal_wealth,p95,118.8362349
LEAPS_80_25_TREASURY,30,63,terminal_wealth,mean,42.67204723
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,p5,0.07120534181
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,p10,0.08122345308
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,p50,0.1222093978
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,p90,0.1645250404
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,p95,0.176895652
LEAPS_80_25_TREASURY_ROLL_18M,30,63,cagr,mean,0.1228625953
