series,fund,lag,cost_bps,horizon_years,cohorts,first_entry,last_entry,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,min_ratio_vs_no_reserve,median_ratio_vs_no_reserve,max_ratio_vs_no_reserve,fraction_outperforming_no_reserve,cohort_kind
HWM_DRAWDOWN,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,4.141605488,10.88940697,0.07363938933,0.1268085189,0.9148373789,0.9890278415,1.046285859,0.4166666667,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,33.2816874,56.2856939,0.1239263746,0.1437907808,0.9170228779,0.9507271461,0.977572174,0,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.851105974,7.761954638,0.05378173803,0.1078947531,0.9418513554,1.001960464,1.053822254,0.5291666667,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,20.62338425,34.51454165,0.1061397484,0.125295896,0.9483500545,0.9794881733,1.00702705,0.04166666667,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.015817877,13.93898548,0.05674513122,0.1408053727,0.9134399337,1.019102379,1.121023309,0.6208333333,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,52.79956095,95.63514857,0.1413488099,0.1641729919,0.9216801737,0.9977577538,1.051879882,0.4583333333,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.110820117,9.957657322,0.03806025029,0.1217802304,0.9433638646,1.048115952,1.154397278,0.8041666667,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,33.67557735,60.25232465,0.1243672279,0.1463757252,0.9841094456,1.058018555,1.115403794,0.9583333333,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.35688303,18.52258562,0.08752843173,0.1571260839,0.8919351024,1.003612812,1.109519436,0.5208333333,fresh_investor_reset
HWM_DRAWDOWN,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,65.71365371,149.4982764,0.1497032417,0.1816290131,0.9119876999,0.9642240705,1.01967997,0.04166666667,fresh_investor_reset
