case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_35,NDX LEAPS,NASDAQ100_1X,0.9,0.35,0.1893927538,-0.5753911685,-0.9066601844,0,0.05733333333,0.04533333333,0.08541495937,11.69292293,0.1053661279,20.19501242,0.1863551976,168.4783921,0.2777275168,1560.60582,0.3050373566,2943.389102,-0.7105490204,-0.7525326511,0.992,0.8053333333,0.4086666667,0.05266666667,1.236664753,0.373741515,0.626258485,1.863295517
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_40,NDX LEAPS,NASDAQ100_1X,0.9,0.4,0.2008898129,-0.6302498905,-0.9402899309,0.0003333333333,0.04133333333,0.04433333333,0.0838827031,11.20774636,0.105715719,20.38754831,0.198640511,229.4968748,0.3007783928,2668.429687,0.3315602389,5382.639035,-0.7640820183,-0.8077082855,0.9996666667,0.9316666667,0.6256666667,0.1306666667,1.401008886,0.4215088162,0.5784911838,1.980170128
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_45,NDX LEAPS,NASDAQ100_1X,0.9,0.45,0.2107491807,-0.6827489704,-0.9662715388,0.002,0.043,0.05033333333,0.08032287825,10.15437552,0.1045118015,19.73195017,0.207246862,284.4425856,0.3230936297,4445.123421,0.3570239189,9501.820934,-0.8143625641,-0.8534462592,1,0.9826666667,0.8003333333,0.2626666667,1.563499298,0.4687145904,0.5312854096,2.095383101
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_50,NDX LEAPS,NASDAQ100_1X,0.9,0.5,0.2189556959,-0.7305441842,-0.98338835,0.004,0.05366666667,0.056,0.07539966436,8.854054318,0.1020387877,18.448633,0.2148320754,343.244306,0.3440675922,7125.397369,0.3798676176,15678.87468,-0.8579376269,-0.8904642396,1,0.9986666667,0.913,0.4176666667,1.725797547,0.5152843757,0.4847156243,2.210616289
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_20,NDX LEAPS,NASDAQ100_1X,0.95,0.2,0.1509687944,-0.4233962847,-0.7569400555,0,0.4963333333,0.119,0.07927280299,9.862394315,0.09364615463,14.66757147,0.1491008444,64.68847976,0.2094337097,300.3144149,0.2276556359,470.3474578,-0.5416975873,-0.5816844403,0.615,0.194,0.03333333333,0.0006666666667,0.7892920501,0.2254082122,0.7745917878,1.563840844
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_25,NDX LEAPS,NASDAQ100_1X,0.95,0.25,0.1682428667,-0.4835821617,-0.8225281527,0,0.226,0.06966666667,0.08187042974,10.59996364,0.0994694278,17.20098549,0.1660069212,100.2594243,0.2398162598,632.1900124,0.2615605146,1065.076407,-0.6087024389,-0.6482944239,0.8563333333,0.4296666667,0.1153333333,0.006666666667,0.9719370998,0.2761570944,0.7238429056,1.695934486
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_30,NDX LEAPS,NASDAQ100_1X,0.95,0.3,0.1835299229,-0.5441872773,-0.8794819746,0,0.09333333333,0.05333333333,0.08366026303,11.13889945,0.1032824,19.08356466,0.1805172018,145.3010037,0.2681310474,1244.701838,0.2936155869,2261.050476,-0.6751684874,-0.713888255,0.974,0.686,0.282,0.02733333333,1.151368924,0.325590346,0.674409654,1.8261266
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_35,NDX LEAPS,NASDAQ100_1X,0.95,0.35,0.1969140157,-0.601833659,-0.9228952592,0.0003333333333,0.05566666667,0.046,0.08390743553,11.21537491,0.1055806507,20.31294008,0.1931308618,199.8698877,0.2932522555,2242.075589,0.3240706898,4544.666935,-0.7355092993,-0.7756724,0.999,0.883,0.5083333333,0.07766666667,1.328344104,0.3737969426,0.6262030574,1.954162803
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_40,NDX LEAPS,NASDAQ100_1X,0.95,0.4,0.2084429629,-0.6579855679,-0.9526689696,0.001333333333,0.04633333333,0.04966666667,0.08197202022,10.62986485,0.1051387773,20.07078303,0.2048665928,268.0894348,0.3173637873,3902.435596,0.3510267521,8319.50462,-0.7885071015,-0.8306137528,1,0.9696666667,0.7266666667,0.1933333333,1.502883531,0.4212206021,0.5787793979,2.082498467
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_45,NDX LEAPS,NASDAQ100_1X,0.95,0.45,0.2181331989,-0.7097330981,-0.9770516607,0.003333333333,0.05533333333,0.05466666667,0.0775635097,9.404398936,0.1030963631,18.98725558,0.2138287984,334.8407677,0.3410511993,6660.945538,0.3774638546,14879.79133,-0.8372020029,-0.8736686302,1,0.995,0.874,0.3413333333,1.677055307,0.4679385845,0.5320614155,2.209684959
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_95_50,NDX LEAPS,NASDAQ100_1X,0.95,0.5,0.22597143,-0.7561224865,-0.9894350535,0.006666666667,0.069,0.06433333333,0.07280741818,8.235592065,0.1003362939,17.61246281,0.2207908234,397.5175633,0.3620106107,10607.14576,0.4021232661,25338.87806,-0.8783150108,-0.9080075201,1,0.9996666667,0.956,0.5286666667,1.849192798,0.5141435958,0.4858564042,2.336718132
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SP500_1X,index,SP500_1X,,,0.1119844398,-0.4157060392,-0.7767613858,0,0,0,0.06231028142,6.131652723,0.07245775549,8.155440994,0.1117870253,24.0276365,0.1514301177,68.74029416,0.1623048874,91.1362953,-0.546522691,-0.588483996,0.575,0.196,0.043,0.001333333333,,,,
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,NASDAQ100_1X,index,NASDAQ100_1X,,,0.1500240492,-0.5631256841,-0.9282673494,0,0,0.108,0.06698958025,6.995905191,0.08513615101,11.60314627,0.1500135923,66.24793169,0.2179794206,370.9503173,0.2360234704,576.6730964,-0.7156025337,-0.7574168851,0.969,0.736,0.377,0.06,,,,
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,0.1203505783,-0.3637292017,-0.7261880101,0,0.3376666667,0.3376666667,0.07055730183,7.732824287,0.0808001293,10.28982272,0.1198978902,29.88272093,0.160394762,86.74835821,0.1720162113,116.9776928,-0.4742626031,-0.5125220781,0.316,0.064,0.006333333333,0,0.8935183683,0.2678882302,0.7321117698,1.625699393
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,0.1353965376,-0.4304494106,-0.8075631966,0,0.1153333333,0.1153333333,0.0736024451,8.420688133,0.08535683162,11.67415222,0.1348480974,44.48435979,0.1876450343,174.0611945,0.2008464516,242.511974,-0.5497947694,-0.5904692975,0.6586666667,0.2066666667,0.04166666667,0.001666666667,1.176939562,0.3189471845,0.6810528155,1.858339822
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,0.1449518212,-0.477386927,-0.8617563665,0,0.05966666667,0.05966666667,0.07424243004,8.57258581,0.08796206183,12.54476891,0.1438457758,56.37729757,0.2048807561,268.1839923,0.2191046163,381.3707802,-0.6036081254,-0.6422708261,0.8566666667,0.391,0.1046666667,0.003666666667,1.364077206,0.3685957572,0.6314042428,1.995898649
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,0.1536126636,-0.5258231743,-0.9024992287,0,0.04133333333,0.04133333333,0.07407791567,8.533301279,0.08890767766,12.87604478,0.152115573,69.97865563,0.2204501549,394.2045023,0.2393580901,625.2189652,-0.6580770415,-0.6959789176,0.9596666667,0.618,0.2206666667,0.01966666667,1.549271701,0.4176347071,0.5823652929,2.131353732
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,0.1613757465,-0.5727644432,-0.9326456997,0.0006666666667,0.037,0.037,0.07175397679,7.996396514,0.08882081099,12.8452627,0.1589973874,83.66839693,0.2356177325,571.0179527,0.2580332688,979.2652763,-0.7104019205,-0.7503974178,0.992,0.8033333333,0.3946666667,0.05033333333,1.733379992,0.4661453716,0.5338546284,2.266984391
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,0.1682285371,-0.6198449663,-0.9545510049,0.001333333333,0.03966666667,0.03966666667,0.06983360372,7.577521755,0.08786610491,12.51161873,0.165308364,98.47295653,0.2497767883,803.7247973,0.2750706433,1466.128571,-0.7578998563,-0.7986841328,0.9983333333,0.9176666667,0.579,0.1103333333,1.916997541,0.5141555684,0.4858444316,2.402370582
iv_premium,iv_3,iv_premium,63,0.03,12m,1,30,3000,SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,0.1393670606,-0.4581370789,-0.8446501662,0,0.106,0.106,0.07158043542,7.95767026,0.08431952152,11.34400949,0.1384741495,48.95221342,0.1968619567,219.4972219,0.2121988786,321.6109709,-0.5795011682,-0.6233670451,0.7816666667,0.3176666667,0.075,0.002333333333,1.296678314,0.3191406155,0.6808593845,1.977156036
