series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,0.09866616764,0.09791913132,0,,,0.9013338324,1.585575881,1.585575881,0.09866616764,1.757431156,0,0,0,0.2425688438,0.7574311562,0
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,0.1480525109,0.1470486909,0,,,0.8519474891,1.499414004,1.499414004,0.1480525109,1.757431156,0,0,0,0.2425688438,0.7574311562,0
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,0.007598721919,8.377512835e-05,0.4837458992,0,0,0.9924012781,1.743781239,1.743781239,0.007598721919,1.757431156,0.1452430659,0.3385028333,0,0.2425688438,0.7574311562,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,0.04011872505,0.01183369231,0.3590814196,0,0,0.9598812749,1.683043555,1.683043555,0.04011872505,1.757431156,0.1043841336,0.254697286,0,0.2425688438,0.7574311562,0
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,0.04897510812,0.04501673564,0.1250621334,0,0.001988269212,0.9510248919,1.673732019,1.673732019,0.04897510812,1.757431156,0.03121582662,0.09384630679,0,0.2425688438,0.7574311562,0
BAND_DRAWDOWN,SSO,LAG1,50,drawdown,0.2,0.1,rule,0.06864292933,0.0735738606,0.09543692216,0,0,0.9313570707,1.638286553,1.638286553,0.06864292933,1.757431156,0.03022169202,0.06521523014,0,0.2425688438,0.7574311562,0
SP500_1X,SSO,LAG1,50,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG1,50,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG1,50,none,0,0,none,0,0,1,,,1,1.514862312,1.514862312,0.2425688438,1.514862312,0,0.7574311562,0,0,0.7574311562,0
NO_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,0,0,1,,,1,1.757331743,1.757331743,0,1.757331743,0.2426682573,0.7573317427,0,0.2426682573,0.7573317427,0
FIXED_90_10,SSO,LAG2,0,staged,0.15,0.1,quarterly,0.09903604948,0.09820361152,0,,,0.9009639505,1.584897179,1.584897179,0.09903604948,1.757331743,0,0,0,0.2426682573,0.7573317427,0
FIXED_85_15,SSO,LAG2,0,staged,0.15,0.1,quarterly,0.1485714002,0.147452574,0,,,0.8514285998,1.498499932,1.498499932,0.1485714002,1.757331743,0,0,0,0.2426682573,0.7573317427,0
HWM_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,0.009959506763,0.00202965728,0.335421016,0,0,0.9900404932,1.739163442,1.739163442,0.009959506763,1.757331743,0.1044835471,0.2309374689,0,0.2426682573,0.7573317427,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,0,staged,0.2,0.1,rule,0.0417613455,0.02074404401,0.3379063525,0,0,0.9582386545,1.679800674,1.679800674,0.0417613455,1.757331743,0.1040858932,0.2338204593,0,0.2426682573,0.7573317427,0
HWM_DRAWDOWN,SSO,LAG2,0,drawdown,0.15,0.1,rule,0.06184608566,0.06251409645,0.05656625907,0,0.009543692216,0.9381539143,1.650704978,1.650704978,0.06184608566,1.757331743,0.02037975942,0.03618649965,0,0.2426682573,0.7573317427,0
BAND_DRAWDOWN,SSO,LAG2,0,drawdown,0.2,0.1,rule,0.0714859831,0.07598971628,0.08291082613,0,0,0.9285140169,1.632486872,1.632486872,0.0714859831,1.757331743,0.02992345164,0.05298737449,0,0.2426682573,0.7573317427,0
SP500_1X,SSO,LAG2,0,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG2,0,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG2,0,none,0,0,none,0,0,1,,,1,1.514663485,1.514663485,0.2426682573,1.514663485,0,0.7573317427,0,0,0.7573317427,0
NO_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,0,0,1,,,1,1.757331743,1.757331743,0,1.757331743,0.2426682573,0.7573317427,0,0.2426682573,0.7573317427,0
FIXED_90_10,SSO,LAG2,10,staged,0.15,0.1,quarterly,0.09903604948,0.09820361152,0,,,0.9009639505,1.584897179,1.584897179,0.09903604948,1.757331743,0,0,0,0.2426682573,0.7573317427,0
FIXED_85_15,SSO,LAG2,10,staged,0.15,0.1,quarterly,0.1485714002,0.147452574,0,,,0.8514285998,1.498499932,1.498499932,0.1485714002,1.757331743,0,0,0,0.2426682573,0.7573317427,0
HWM_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,0.009649525458,0.001437129021,0.3609702754,0,0,0.9903504745,1.739750551,1.739750551,0.009649525458,1.757331743,0.1047817875,0.2561884879,0,0.2426682573,0.7573317427,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,10,staged,0.2,0.1,rule,0.04175982613,0.02072769168,0.3379063525,0,0,0.9582401739,1.679803364,1.679803364,0.04175982613,1.757331743,0.1040858932,0.2338204593,0,0.2426682573,0.7573317427,0
HWM_DRAWDOWN,SSO,LAG2,10,drawdown,0.15,0.1,rule,0.05949744935,0.05919852276,0.08310965305,9.941346058e-05,0.008251317228,0.9405025507,1.654810546,1.654810546,0.05949744935,1.757331743,0.03032110548,0.05278854757,0,0.2426682573,0.7573317427,0
BAND_DRAWDOWN,SSO,LAG2,10,drawdown,0.2,0.1,rule,0.07146002834,0.07598971628,0.08291082613,0,0,0.9285399717,1.632530352,1.632530352,0.07146002834,1.757331743,0.02992345164,0.05298737449,0,0.2426682573,0.7573317427,0
SP500_1X,SSO,LAG2,10,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG2,10,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG2,10,none,0,0,none,0,0,1,,,1,1.514663485,1.514663485,0.2426682573,1.514663485,0,0.7573317427,0,0,0.7573317427,0
NO_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,0,0,1,,,1,1.757331743,1.757331743,0,1.757331743,0.2426682573,0.7573317427,0,0.2426682573,0.7573317427,0
FIXED_90_10,SSO,LAG2,25,staged,0.15,0.1,quarterly,0.09903604948,0.09820361152,0,,,0.9009639505,1.584897179,1.584897179,0.09903604948,1.757331743,0,0,0,0.2426682573,0.7573317427,0
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,0.1485714002,0.147452574,0,,,0.8514285998,1.498499932,1.498499932,0.1485714002,1.757331743,0,0,0,0.2426682573,0.7573317427,0
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,0.009241325003,0.0005978714613,0.4414951784,0,0,0.990758675,1.740519814,1.740519814,0.009241325003,1.757331743,0.1453424794,0.2961526991,0,0.2426682573,0.7573317427,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,0.04175754193,0.02069786847,0.3379063525,0,0,0.9582424581,1.679807408,1.679807408,0.04175754193,1.757331743,0.1040858932,0.2338204593,0,0.2426682573,0.7573317427,0
HWM_DRAWDOWN,SSO,LAG2,25,drawdown,0.15,0.1,rule,0.0561661694,0.05394189765,0.1037876528,0,0.004970673029,0.9438338306,1.660624689,1.660624689,0.0561661694,1.757331743,0.03131524008,0.07257182623,0,0.2426682573,0.7573317427,0
BAND_DRAWDOWN,SSO,LAG2,25,drawdown,0.2,0.1,rule,0.07142069749,0.07598971628,0.08291082613,0,0,0.9285793025,1.632596237,1.632596237,0.07142069749,1.757331743,0.02992345164,0.05298737449,0,0.2426682573,0.7573317427,0
SP500_1X,SSO,LAG2,25,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG2,25,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG2,25,none,0,0,none,0,0,1,,,1,1.514663485,1.514663485,0.2426682573,1.514663485,0,0.7573317427,0,0,0.7573317427,0
NO_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,0,0,1,,,1,1.757331743,1.757331743,0,1.757331743,0.2426682573,0.7573317427,0,0.2426682573,0.7573317427,0
FIXED_90_10,SSO,LAG2,50,staged,0.15,0.1,quarterly,0.09903604948,0.09820361152,0,,,0.9009639505,1.584897179,1.584897179,0.09903604948,1.757331743,0,0,0,0.2426682573,0.7573317427,0
FIXED_85_15,SSO,LAG2,50,staged,0.15,0.1,quarterly,0.1485714002,0.147452574,0,,,0.8514285998,1.498499932,1.498499932,0.1485714002,1.757331743,0,0,0,0.2426682573,0.7573317427,0
HWM_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,0.007902525647,0.0002019662077,0.4689332936,0,0,0.9920974744,1.743136965,1.743136965,0.007902525647,1.757331743,0.1453424794,0.3235908142,0,0.2426682573,0.7573317427,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,50,staged,0.2,0.1,rule,0.04175372112,0.0206559343,0.3379063525,0,0,0.9582462789,1.679814174,1.679814174,0.04175372112,1.757331743,0.1040858932,0.2338204593,0,0.2426682573,0.7573317427,0
HWM_DRAWDOWN,SSO,LAG2,50,drawdown,0.15,0.1,rule,0.05010793577,0.04413790564,0.112237797,0,0.001590615369,0.9498920642,1.671419813,1.671419813,0.05010793577,1.757331743,0.03131524008,0.08092255691,0,0.2426682573,0.7573317427,0
BAND_DRAWDOWN,SSO,LAG2,50,drawdown,0.2,0.1,rule,0.07135406689,0.07598971628,0.08291082613,0,0,0.9286459331,1.632707849,1.632707849,0.07135406689,1.757331743,0.02992345164,0.05298737449,0,0.2426682573,0.7573317427,0
SP500_1X,SSO,LAG2,50,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG2,50,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG2,50,none,0,0,none,0,0,1,,,1,1.514663485,1.514663485,0.2426682573,1.514663485,0,0.7573317427,0,0,0.7573317427,0
