series,family,sma_days,spread_bps,lag,switch_cost_bps,horizon_years,cohort_count,min,max,p1,p10,p25,p50,p75,p90,p99
SSO_ALWAYS,SP500,200,50,LAG2,0,20,240,0.02327785523,0.1588077093,0.0406868789,0.05542299506,0.0715037683,0.09036078653,0.1255555149,0.1401845611,0.1568898243
SSO_ALWAYS,SP500,200,50,LAG2,0,30,120,0.1010207013,0.1450451639,0.1035776307,0.1095381112,0.1206158384,0.128313937,0.1338446245,0.1375848569,0.14413895
SSO_SMA_TO_SP500,SP500,200,50,LAG2,0,10,360,-0.0488771924,0.2788349608,-0.04309801124,0.04453276773,0.1064726272,0.1599667468,0.2012357558,0.2410896471,0.2727464206
SSO_SMA_TO_SP500,SP500,200,50,LAG2,0,20,240,0.07413244751,0.1666709834,0.07743255493,0.09211740532,0.1070924939,0.1272161392,0.1449713718,0.151584843,0.1651500711
SSO_SMA_TO_SP500,SP500,200,50,LAG2,0,30,120,0.1253573709,0.1646297859,0.1276671129,0.1325367969,0.1400019379,0.1458669051,0.1516958304,0.1564484687,0.1632330878
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,0,10,360,-0.006571114323,0.2480302183,0.01512867843,0.07513825847,0.1044316245,0.1415016726,0.1716195299,0.1995204241,0.2420667915
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,0,20,240,0.07684567012,0.1609780394,0.07949603182,0.09634352922,0.1122378201,0.1261992932,0.1351475715,0.1427965401,0.1569231009
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,0,30,120,0.1198764344,0.1547527312,0.1208449916,0.1260970965,0.1309896477,0.1370536882,0.1413982346,0.1463711965,0.1538708103
SSO_ALWAYS,SP500,200,50,LAG2,25,10,360,-0.1477707221,0.3126470453,-0.1323046002,-0.02513079176,0.07320174774,0.1303028173,0.224534771,0.2703400387,0.3017810474
SSO_ALWAYS,SP500,200,50,LAG2,25,20,240,0.02327785523,0.1588077093,0.0406868789,0.05542299506,0.0715037683,0.09036078653,0.1255555149,0.1401845611,0.1568898243
SSO_ALWAYS,SP500,200,50,LAG2,25,30,120,0.1010207013,0.1450451639,0.1035776307,0.1095381112,0.1206158384,0.128313937,0.1338446245,0.1375848569,0.14413895
SSO_SMA_TO_SP500,SP500,200,50,LAG2,25,10,360,-0.07052720021,0.2622949048,-0.06417718211,0.01957619179,0.08656326306,0.1405093389,0.1821324312,0.222673826,0.2556025499
SSO_SMA_TO_SP500,SP500,200,50,LAG2,25,20,240,0.05402342743,0.1487047146,0.05700480475,0.07204027622,0.08719351036,0.1069174449,0.1245906779,0.1316309363,0.1462657829
SSO_SMA_TO_SP500,SP500,200,50,LAG2,25,30,120,0.1065499337,0.144691991,0.1086712183,0.1133474045,0.1199217047,0.1261088248,0.1320570248,0.1363033483,0.143679115
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,25,10,360,-0.02918411756,0.2318885814,-0.007233142444,0.05391296073,0.08452120082,0.1227240598,0.154431203,0.1836129147,0.2258213358
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,25,20,240,0.05602762872,0.1416696713,0.05904405155,0.07622761563,0.09175873325,0.1060365022,0.1150521394,0.1233272551,0.137688986
SSO_SMA_TO_TBILL,SP500,200,50,LAG2,25,30,120,0.1006129758,0.1349840259,0.1020780021,0.1067488405,0.1110826124,0.1175669908,0.1210701955,0.1269022453,0.1344742177
UPRO_ALWAYS,SP500,200,50,LAG2,0,10,360,-0.2785576574,0.429581348,-0.2598957054,-0.108860821,0.03755882139,0.121493287,0.2794240386,0.3601711101,0.4136327859
UPRO_ALWAYS,SP500,200,50,LAG2,0,20,240,-0.03187310567,0.1679665647,-0.007914600847,0.01446234653,0.03579700061,0.06090215039,0.1200170426,0.1438923827,0.165579154
UPRO_ALWAYS,SP500,200,50,LAG2,0,30,120,0.07745327156,0.1515133044,0.08064268311,0.09438712549,0.1132775896,0.1244216884,0.1333279875,0.1395283408,0.1466842844
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,0,10,360,-0.08001607413,0.3796287825,-0.0656134884,0.05376088347,0.1300264167,0.198182834,0.2600572108,0.3018947379,0.3568752468
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,0,20,240,0.08848370485,0.2134691562,0.09161991115,0.1136103558,0.1313352779,0.1563549575,0.1837235736,0.1950262198,0.2103898518
UPRO_SMA_TO_SP500,SP500,200,50,LAG2,0,30,120,0.1502009958,0.2117437637,0.1515679026,0.1604237121,0.1740362277,0.1828338407,0.1909809085,0.1984829153,0.2107430729
