strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_max_drawdown,max_drawdown_p90,max_drawdown_p95,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_SP500_1X,prob_below_LEAPS_85_30_TSY100,prob_below_LEAPS_95_50_TSY100,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_p5,mean_delta_exposure_p95,treasury_notional_median,treasury_notional_p5,treasury_notional_p95,gross_notional_median,gross_notional_p5,gross_notional_p95
LEAPS_85_30_TSY200,20,126,2000,0.1448717795,0.05901853906,24.39315704,-0.4961826028,-0.6621598294,-0.708444577,-0.9180219046,0.2467058731,0.8756546905,0.5182065091,0.04035,0.0045,across paths,0.23,0.3515,0.6915,0.04560663816,2.439871841,0.06897402047,3.796147864,0.1446174213,14.90071257,0.2203479978,53.66286769,0.2444689784,79.37459644,0.8345,0.487,0.2015,0.0285,1.190444363,1.061568562,1.301997273,1.359542128,1.304389033,1.421709622,2.546709218,2.464860915,2.622119273
LEAPS_95_50_TSY200,20,126,2000,0.1856235847,0.1001382667,109.7315866,-0.6699589623,-0.8285499618,-0.8671162835,-0.9842587388,0.3976011707,0.7598850118,0.2967603182,0.08450416667,0.0255,across paths,0.134,0.175,0.308,0.03013209084,1.810830621,0.06082582489,3.257491446,0.1814592004,28.07855042,0.3181880932,250.9276951,0.3552743109,437.0632156,0.998,0.9635,0.7445,0.247,2.327887528,2.065102067,2.571240958,0.9766803718,0.8998110407,1.063876488,3.305214075,3.095934924,3.507231253
SP500_1X,30,21,2000,0.1127334911,0.03291209448,35.40694021,-0.4032306991,-0.540392313,-0.5815141739,-0.8222385609,0.1828558577,0.9249048031,0.6489724817,0.02190833333,0.002958333333,pooled overlapping windows,0,0.863,0.846,0.05856584759,5.5153134,0.06966222712,7.541189885,0.1137491613,25.33295758,0.1561039845,77.62350904,0.1663882902,101.247918,0.5145,0.184,0.0355,0.002,,,,,,,,,
LEAPS_80_25_TSY100,30,21,2000,0.1187361371,0.03287784455,41.49719415,-0.3647991026,-0.4804044998,-0.5153944888,-0.6811532501,0.1743790594,0.9263338286,0.6932122431,0.01615625,0.0009833333333,pooled overlapping windows,0.3785,0.91,0.799,0.06416495711,6.461146184,0.07742903594,9.369245019,0.1193829735,29.47324497,0.1597700283,85.35818546,0.1718658173,116.5281747,0.32,0.0685,0.0095,0,0.8840841616,0.832165399,0.9293146103,0.7334545269,0.7151265531,0.7526907206,1.616805462,1.581234419,1.650177651
LEAPS_85_30_TSY100,30,21,2000,0.1325455804,0.04159434532,73.46420343,-0.4358834687,-0.5652937352,-0.6088916156,-0.7615612199,0.2179131158,0.9026097165,0.6201995918,0.02739166667,0.003354166667,pooled overlapping windows,0.137,0,0.76,0.06545814622,6.701059726,0.08004984465,10.07767024,0.133388505,42.79949306,0.1851881269,163.5764747,0.1999006644,236.8469684,0.6975,0.249,0.0545,0.001,1.159357107,1.085232744,1.225156467,0.6828152971,0.6608686277,0.7061884363,1.841622551,1.78526467,1.893857033
LEAPS_95_50_TSY100,30,21,2000,0.162811393,0.07975243364,614.6071615,-0.7120785626,-0.8541034626,-0.889194248,-0.9860644209,0.4125746081,0.7512574134,0.285367287,0.1060395833,0.0400375,pooled overlapping windows,0.154,0.24,0,0.03563940976,2.859420338,0.06202936665,6.083232554,0.1606109624,87.23498876,0.2681083479,1244.034989,0.2970754547,2449.69635,1,0.9955,0.8795,0.3585,2.248579628,2.09583498,2.392563317,0.4926974164,0.462292315,0.5258892887,2.740085362,2.614142197,2.86746808
LEAPS_80_25_TSY125,30,21,2000,0.1213721363,0.03494901743,46.38914518,-0.3938070373,-0.5200341992,-0.5594603646,-0.7230859649,0.1846450196,0.917239023,0.6538685124,0.02094375,0.001920833333,pooled overlapping windows,0.3505,0.8265,0.7835,0.06200522112,6.079044786,0.07692021018,9.237402716,0.1221440827,31.73419016,0.1648491263,97.31528692,0.1773705155,134.1194683,0.479,0.1315,0.0265,0,0.8840028492,0.8310263582,0.9315175806,0.9168008679,0.8934608566,0.9414501031,1.799792755,1.766562186,1.831720497
LEAPS_85_30_TSY125,30,21,2000,0.1351839769,0.04297942316,81.17154734,-0.4581248626,-0.5896960001,-0.6351804797,-0.7806055979,0.2242046726,0.8961368038,0.5944361367,0.03013333333,0.0039875,pooled overlapping windows,0.149,0.2565,0.742,0.06386408533,6.406509014,0.08134586027,10.44689064,0.1361564902,46.04904905,0.1885524868,178.096333,0.2039413034,261.9816507,0.7805,0.328,0.0855,0.0045,1.159467546,1.08374403,1.226825456,0.8537384956,0.8258494195,0.8834079015,2.011847816,1.959926774,2.062124102
LEAPS_95_50_TSY125,30,21,2000,0.1652137462,0.08002153967,653.9863331,-0.7163693297,-0.85593351,-0.8914593362,-0.9854085785,0.4128473583,0.7505639853,0.278298251,0.1040083333,0.03865833333,pooled overlapping windows,0.141,0.2155,0.224,0.03856553242,3.112004266,0.06395069476,6.422173296,0.1633071392,93.52373657,0.2705152024,1316.856747,0.2997067244,2603.286412,1,0.9965,0.8865,0.3645,2.248098993,2.092901654,2.393385731,0.6161439581,0.5779050061,0.6581063183,2.863363497,2.740861007,2.985995624
LEAPS_80_25_TSY150,30,21,2000,0.123415097,0.03742088964,51.64747292,-0.4296642818,-0.5611548478,-0.6052409848,-0.7689959325,0.1972097599,0.9059506541,0.6152207626,0.02762083333,0.003575,pooled overlapping windows,0.3435,0.738,0.772,0.06017643605,5.772702411,0.0743507669,8.59855715,0.1234459524,32.85751526,0.1703298114,112.0318598,0.1833972503,156.320808,0.64,0.2295,0.057,0.001,0.8842626062,0.8301321306,0.9331574277,1.09992209,1.07123199,1.13018149,1.983389899,1.951314181,2.013950743
LEAPS_85_30_TSY150,30,21,2000,0.1372888974,0.04471843155,89.37168418,-0.4821391596,-0.618733815,-0.6667723322,-0.7987439299,0.2326033137,0.888859304,0.5669413748,0.03462708333,0.005254166667,pooled overlapping windows,0.1665,0.2805,0.719,0.06234748057,6.138098864,0.08099389095,10.34531171,0.1380172404,48.36633926,0.1935328665,201.9002155,0.2096734627,302.1056784,0.8445,0.424,0.1335,0.011,1.159731198,1.082131264,1.229044054,1.024393934,0.9898519816,1.060809703,2.182663261,2.132658544,2.231192065
LEAPS_95_50_TSY150,30,21,2000,0.1672778483,0.08044271027,694.6741,-0.7183147299,-0.8593393056,-0.8932634921,-0.9849220699,0.4137420894,0.7513442839,0.2700762822,0.1028416667,0.0377375,pooled overlapping windows,0.137,0.1995,0.2435,0.03918658563,3.168330676,0.06663641183,6.926789441,0.1657738933,99.66015044,0.2718036242,1357.519127,0.3025271834,2778.186752,1,0.997,0.8965,0.381,2.248025418,2.092766495,2.393136641,0.7395178409,0.6933532527,0.7902431136,2.986753482,2.868501498,3.105825652
LEAPS_80_25_TSY200,30,21,2000,0.1257087922,0.04324723402,63.18865339,-0.5023796315,-0.6514055112,-0.6928416274,-0.8622294772,0.2274365561,0.8761779873,0.5257067483,0.04758125,0.0094125,pooled overlapping windows,0.357,0.6315,0.74,0.05355438666,4.783475685,0.06974597637,7.558923561,0.1255559463,34.76025218,0.1797544151,142.5106686,0.1950733765,209.8665909,0.884,0.5085,0.188,0.02,0.8858612784,0.8299772369,0.9387070157,1.465352512,1.425578391,1.506751081,2.350289887,2.320340701,2.3803578
LEAPS_85_30_TSY200,30,21,2000,0.1398839203,0.04907668405,107.1146151,-0.5379160913,-0.6859812413,-0.733133017,-0.8709242392,0.2545137082,0.8638203934,0.4916083938,0.04833125,0.01002083333,pooled overlapping windows,0.2025,0.331,0.6845,0.05666899211,5.226388327,0.07707493982,9.277303928,0.1405878002,51.75357908,0.2011148553,244.1434662,0.2188299105,378.8056327,0.9415,0.6505,0.272,0.035,1.161766849,1.081286067,1.235806059,1.364759438,1.317176414,1.414619867,2.524671582,2.477948548,2.570893539
LEAPS_95_50_TSY200,30,21,2000,0.1703753218,0.08172768832,779.6526749,-0.7309387005,-0.8684351728,-0.9037758739,-0.9845245696,0.4178579188,0.7466807601,0.2495853113,0.1038229167,0.03832083333,pooled overlapping windows,0.131,0.179,0.2805,0.0401651835,3.259064441,0.06872178062,7.344789608,0.1696245121,110.0239402,0.2766763462,1522.546405,0.3064501109,3040.922516,1,0.9975,0.913,0.4225,2.248770475,2.09186227,2.398349094,0.9858302122,0.9229983385,1.054286205,3.234922602,3.117740898,3.349559043
SP500_1X,30,63,5000,0.1124428301,0.03064523035,33.77636138,-0.415347138,-0.5467845176,-0.5900953268,-0.801888118,0.1825202663,0.9210236015,0.6381517088,0.01864333333,0.00207,pooled overlapping windows,0,0.8812,0.8946,0.06218612231,6.11018781,0.07287523252,8.25122486,0.1124602013,24.46796482,0.1520208582,69.80627221,0.1632783918,93.4544488,0.5732,0.1958,0.0428,0.0016,,,,,,,,,
