series,lag,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year
LOW_CHURN,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1114990777,-0.8259970428,0.3065551002,10.00136893,0.3445650847,-0.2502627464,3653,1999-12-31,2009-03-09,,False,,,2008,-0.5581588905,2009,0.3277682678,-0.6320367337,-0.1615170955,-0.1114990777,127,12.6982617
LOW_CHURN,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.09307940587,-0.5776430447,2.434805137,9.998631075,0.3510218487,0.4147099615,755,2011-02-18,2011-10-03,2013-03-14,True,528,755,2018,-0.3380351946,2013,0.7721725956,-0.4503074419,-0.04881437363,0.09307940587,131,13.10179354
LOW_CHURN,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2061130829,-0.5857107167,3.491664538,6.672142368,0.3679178582,0.6161976953,827,2022-03-29,2022-09-30,2024-07-03,True,642,827,2022,-0.3955972108,2024,0.6212222983,-0.4546816884,0.1384553165,,119,17.83535084
AO,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2003738511,-0.4628275422,10.74139163,12.99931554,0.3506425899,0.5424951628,747,1987-08-25,1987-10-19,1989-07-31,True,651,706,1990,-0.1570903865,1995,1.135877613,-0.4113709116,0.008762968866,0.1256266106,153,11.76985046
AO,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.07509876211,-0.8167270046,0.4580439953,10.00136893,0.4009004529,-0.06303205693,3570,2000-03-23,2009-03-09,,False,,,2008,-0.4656387577,2003,0.5832884128,-0.59824031,-0.2115239729,-0.07509876211,104,10.39857651
AO,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1713546046,-0.4472945998,4.86171909,9.998631075,0.3096379048,0.6493909132,802,2018-01-26,2018-12-24,,False,,,2018,-0.2706270642,2013,0.8407799371,-0.3624595406,0.0345857029,0.1713546046,106,10.60145126
AO,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2531317481,-0.5602132342,4.506591094,6.672142368,0.4000598368,0.6946828181,963,2021-11-18,2022-11-03,2024-07-08,True,613,963,2022,-0.4744248033,2020,0.6137543343,-0.5471661026,0.1210084482,,58,8.692860074
AO,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1655249454,-0.4668462721,7.32377373,12.99931554,0.3508009704,0.4586467373,784,1987-08-25,1987-10-19,1989-08-24,True,675,730,1990,-0.177927632,1995,1.114598799,-0.430179019,-0.02107518293,0.09424661945,153,11.76985046
AO,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.09886239484,-0.8547893119,0.3530605939,10.00136893,0.4008036507,-0.128146617,3570,2000-03-23,2009-03-09,,False,,,2008,-0.4788484972,2003,0.5402881752,-0.6110774931,-0.2344756513,-0.09886239484,104,10.39857651
AO,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1406793977,-0.4623054236,3.728702412,9.998631075,0.3098222146,0.563381384,817,2018-01-26,2018-12-24,,False,,,2018,-0.2904359691,2013,0.7952747216,-0.3812363285,0.005476409185,0.1406793977,106,10.60145126
