variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
SPX_90_45_15M_R6,20,5000,63,SPX_90_45,SPX,15m/6m,SP500_1X,0.9,0.45,15,6,0.1649015603,-0.6364931671,-0.963100178,0.0258,0.1736,0.5358,0.02322494838,0.05165911968,0.1612290869,0.2808579171,0.3182712452,1.582788436,19.8773403,251.2440475,0.9238,0.6334,0.1796,2.238301392,0.5221915955,0.1374,1.641978548,2.285396248,2.723490544,0.4555676779,0.9363988542
SPX_90_45_15M_R12,20,5000,63,SPX_90_45,SPX,15m/12m,SP500_1X,0.9,0.45,15,12,0.1738400018,-0.6628504088,-0.9709309845,0.0288,0.1594,0.3862,0.02240788893,0.05342008682,0.170781858,0.29674254,0.3359424025,1.557701945,23.4163768,327.9100464,0.9586,0.715,0.2322,2.284528866,0.2821845794,0.129,1.56310129,2.337633333,2.860160862,0.4621290411,0.9536766275
SPX_90_45_18M_R6,20,5000,63,SPX_90_45,SPX,18m/6m,SP500_1X,0.9,0.45,18,6,0.1615344955,-0.6055764918,-0.9495120817,0.02,0.1616,0.671,0.03095076703,0.05668861403,0.1579857513,0.2694718192,0.3032374469,1.839748938,18.79595445,199.7427423,0.8688,0.5214,0.116,2.092731824,0.5976574001,0.156,1.539131547,2.131480632,2.557575037,0.4559058393,0.9266792082
SPX_90_45_18M_R12,20,5000,63,SPX_90_45,SPX,18m/12m,SP500_1X,0.9,0.45,18,12,0.1704443055,-0.6248521561,-0.9595794712,0.0204,0.1378,0.4082,0.03083357896,0.05899798407,0.167398463,0.2838779309,0.3213265725,1.835570806,22.09949907,263.1505538,0.9122,0.6022,0.1454,2.131585643,0.4673313135,0.1592,1.478323264,2.18199307,2.650183783,0.4629048136,0.9321052196
SPX_90_45_24M_R6,20,5000,63,SPX_90_45,SPX,24m/6m,SP500_1X,0.9,0.45,24,6,0.1572832689,-0.5585439401,-0.9217789016,0.0108,0.134,0.835,0.03981683254,0.06356827308,0.1542561318,0.2536164921,0.2831051257,2.183417984,17.62154078,146.3001962,0.7426,0.3478,0.0552,1.876213463,0.6756540449,0.1672,1.374791434,1.905112385,2.309907421,0.4571218802,0.9215344369
SPX_90_45_24M_R12,20,5000,63,SPX_90_45,SPX,24m/12m,SP500_1X,0.9,0.45,24,12,0.1663350044,-0.5690611548,-0.9300976565,0.01,0.1,0,0.04275992502,0.06758365077,0.1629753586,0.26685943,0.2985847373,2.310397505,20.48378984,185.9541546,0.78,0.384,0.0566,1.904853119,0.6120539472,0.1876,1.336668813,1.942522751,2.363805712,0.465034258,0.9177053234
SPX_90_45_30M_R12,20,5000,63,SPX_90_45,SPX,30m/12m,SP500_1X,0.9,0.45,30,12,0.1614739915,-0.5335601639,-0.9006788685,0.0066,0.0874,0.6388,0.04887710461,0.07255022599,0.159219856,0.2529839944,0.2828533834,2.597120586,19.20066387,145.7271593,0.6608,0.2544,0.0256,1.753164321,0.6793465171,0.2120424085,1.239346614,1.784026593,2.178139644,0.4654927033,0.9000632707
SPX_90_45_30M_R18,20,5000,63,SPX_90_45,SPX,30m/18m,SP500_1X,0.9,0.45,30,18,0.1646392626,-0.5487583461,-0.9078114521,0.0082,0.0872,0.5498,0.05025503188,0.072206393,0.1620762241,0.2602115067,0.2900503512,2.666216563,20.16936912,162.9795932,0.7146,0.2974,0.032,1.780505322,0.6280151556,0.2066,1.217893347,1.816991406,2.228843597,0.4729338548,0.911155034
SP500_1X,30,5000,63,SP500_1X,SPX,index,SP500_1X,,,,,0.1124428301,-0.415347138,-0.801888118,0,0,0,0.06218612231,0.07287523252,0.1124602013,0.1520208582,0.1632783918,6.11018781,24.46796482,93.4544488,0.1958,0.0428,0.0016,,,,,,,,
NASDAQ100_1X,30,5000,63,NASDAQ100_1X,NDX,index,NASDAQ100_1X,,,,,0.1504608939,-0.5630010958,-0.9345217988,0.0002,0,0,0.06787779699,0.08660876222,0.15016732,0.2165141282,0.2359945639,7.17277007,66.51412621,576.2657244,0.7338,0.376,0.0606,,,,,,,,
