iv_premium,moneyness,premium_budget,safe_asset,mean_implied_vol,mean_delta_exposure,total_exposure,cagr,max_drawdown,cohort_10y_min_cagr
0.03,0.85,0.15,LONG_TREASURY_1X,0.2024913094,0.6280616923,1.478061692,0.1040201757,-0.4323751719,0.0523431911
0.03,0.85,0.2,TBILL_3M_1X,0.2024913094,0.8325673513,1.632567351,0.09517184513,-0.3389848872,-0.002885944038
0.03,0.85,0.2,LONG_TREASURY_1X,0.2024913094,0.82876085,1.62876085,0.1177199868,-0.4508104947,0.04521756775
0.03,0.85,0.25,TBILL_3M_1X,0.2024913094,1.030373298,1.780373298,0.1088869167,-0.4205574449,-0.01169583666
0.03,0.85,0.25,LONG_TREASURY_1X,0.2024913094,1.02600735,1.77600735,0.1305777817,-0.4711114504,0.03395419767
0.03,0.85,0.3,TBILL_3M_1X,0.2024913094,1.225029991,1.925029991,0.1217671874,-0.49464053,-0.02266072059
0.03,0.85,0.3,LONG_TREASURY_1X,0.2024913094,1.220249952,1.920249952,0.1425885916,-0.4944916535,0.02171569589
0.03,0.85,0.4,TBILL_3M_1X,0.2024913094,1.606555089,2.206555089,0.144975984,-0.6241106113,-0.04790202055
0.03,0.85,0.4,LONG_TREASURY_1X,0.2024913094,1.601366839,2.201366839,0.1640112776,-0.5407502168,-0.00587827571
0.03,0.85,0.5,TBILL_3M_1X,0.2024913094,1.980300902,2.480300902,0.1646157731,-0.7267904377,-0.07726573468
0.03,0.85,0.5,LONG_TREASURY_1X,0.2024913094,1.975234998,2.475234998,0.1817834319,-0.6655370242,-0.0380706619
0.03,0.85,0.6,TBILL_3M_1X,0.2024913094,2.34940263,2.74940263,0.1803309791,-0.818403222,-0.1114108003
0.03,0.85,0.6,LONG_TREASURY_1X,0.2024913094,2.344936877,2.744936877,0.1955177098,-0.7681861666,-0.07564984283
0.03,0.9,0.15,TBILL_3M_1X,0.2024913094,0.7065925751,1.556592575,0.08457915332,-0.2699489612,0.002169397918
0.03,0.9,0.15,LONG_TREASURY_1X,0.2024913094,0.7026620441,1.552662044,0.107786448,-0.4396830668,0.05172362942
0.03,0.9,0.2,TBILL_3M_1X,0.2024913094,0.9308151165,1.730815116,0.1000380725,-0.3603989692,-0.006861464378
0.03,0.9,0.2,LONG_TREASURY_1X,0.2024913094,0.926040142,1.726040142,0.1223749028,-0.4605251157,0.04161249034
0.03,0.9,0.25,TBILL_3M_1X,0.2024913094,1.150615044,1.900615044,0.1144849533,-0.4451299938,-0.01680523133
0.03,0.9,0.25,LONG_TREASURY_1X,0.2024913094,1.14518992,1.89518992,0.1359530619,-0.4828365252,0.02940114258
0.03,0.9,0.3,TBILL_3M_1X,0.2024913094,1.366598735,2.066598735,0.1279260572,-0.5232479836,-0.02853904044
0.03,0.9,0.3,LONG_TREASURY_1X,0.2024913094,1.360705437,2.060705437,0.1485208798,-0.5074290194,0.01606458177
0.03,0.9,0.4,TBILL_3M_1X,0.2024913094,1.789287057,2.389287057,0.1517604913,-0.6540767625,-0.05621969857
0.03,0.9,0.4,LONG_TREASURY_1X,0.2024913094,1.782971358,2.382971358,0.1705758423,-0.5694170252,-0.01392206617
0.03,0.9,0.5,TBILL_3M_1X,0.2024913094,2.202940296,2.702940296,0.1713644342,-0.7557112617,-0.08830186911
0.03,0.9,0.5,LONG_TREASURY_1X,0.2024913094,2.196849449,2.696849449,0.1883299578,-0.6986697668,-0.04879170038
0.03,0.9,0.6,TBILL_3M_1X,0.2024913094,2.611515132,3.011515132,0.1863408039,-0.8484559523,-0.1254969616
0.03,0.9,0.6,LONG_TREASURY_1X,0.2024913094,2.60624645,3.00624645,0.2013521438,-0.7982411536,-0.08938020229
0.03,0.95,0.15,TBILL_3M_1X,0.2024913094,0.7878500179,1.637850018,0.08814805989,-0.3026983221,-0.00168070226
0.03,0.95,0.15,LONG_TREASURY_1X,0.2024913094,0.7829682667,1.632968267,0.1111380313,-0.4461246627,0.04814338489
