return_end,execution_close,signal_close,reason,stage,transfer_to_reserve,net_deployed,asset,favorable,streak,row,series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,remaining_tagged_risky_wealth_at_sample_end
2016-06-13,2016-06-10,2016-06-10,deployment,recovery_3_of_3,-0.01638505753,0.01638499555,UPRO,True,61,7488,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.07625528587
2018-04-04,2018-04-03,2018-04-03,deployment,recovery_1_of_3,-0.9162297994,0.9118752504,UPRO,True,1,7943,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.69283451
2018-05-02,2018-05-01,2018-05-01,deployment,recovery_2_of_3,-0.9174871179,0.9173772216,UPRO,True,21,7963,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.6034861
2018-06-28,2018-06-27,2018-06-27,deployment,recovery_3_of_3,-0.9113753237,0.9112718221,UPRO,True,61,8003,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.465873499
2020-03-03,2020-03-02,2020-03-02,deployment,recovery_1_of_3,-1.610093352,1.602704841,UPRO,True,1,8424,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,5.091396523
2020-03-05,2020-03-04,2020-03-04,deployment,recovery_1_of_3,-1.063663839,1.058649829,UPRO,True,1,8426,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,3.556942616
2020-05-28,2020-05-27,2020-05-27,deployment,recovery_1_of_3,-0.7027224468,0.6993558576,UPRO,True,1,8484,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.616564104
2020-06-15,2020-06-12,2020-06-12,deployment,recovery_1_of_3,-0.4640400168,0.461786718,UPRO,True,1,8496,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.805706108
2020-06-30,2020-06-29,2020-06-29,deployment,recovery_1_of_3,-0.3063872098,0.3048853883,UPRO,True,1,8507,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.231870917
2020-07-29,2020-07-28,2020-07-28,deployment,recovery_2_of_3,-0.3064196484,0.3064066466,UPRO,True,21,8527,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.060597476
2020-09-24,2020-09-23,2020-09-23,deployment,recovery_3_of_3,-0.3034533135,0.3034406443,UPRO,True,61,8567,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.043520607
2022-02-01,2022-01-31,2022-01-31,deployment,recovery_1_of_3,-1.806399197,1.797750237,UPRO,True,1,8908,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.829974763
2022-02-16,2022-02-15,2022-02-15,deployment,recovery_1_of_3,-1.192922849,1.187136419,UPRO,True,1,8919,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.998507336
2022-03-23,2022-03-22,2022-03-22,deployment,recovery_1_of_3,-0.7878820689,0.7840235627,UPRO,True,1,8943,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.375227562
2022-03-25,2022-03-24,2022-03-24,deployment,recovery_1_of_3,-0.5201392497,0.5175749757,UPRO,True,1,8945,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.9382559348
2022-04-08,2022-04-07,2022-04-07,deployment,recovery_1_of_3,-0.3434246664,0.3417239628,UPRO,True,1,8955,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.6408524104
2022-12-01,2022-11-30,2022-11-30,deployment,recovery_1_of_3,-0.2303272128,0.229183749,UPRO,True,1,9118,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.4760963383
2023-01-17,2023-01-13,2023-01-13,deployment,recovery_1_of_3,-0.1528418384,0.152081487,UPRO,True,1,9148,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.338853194
2023-01-23,2023-01-20,2023-01-20,deployment,recovery_1_of_3,-0.1009732933,0.1004702039,UPRO,True,1,9152,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.2363164981
2023-02-21,2023-02-17,2023-02-17,deployment,recovery_2_of_3,-0.1013392408,0.1013384023,UPRO,True,21,9172,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.2221607038
2023-03-17,2023-03-16,2023-03-16,deployment,recovery_1_of_3,-0.03339604075,0.03322926632,UPRO,True,1,9190,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.08273484556
2023-03-21,2023-03-20,2023-03-20,deployment,recovery_1_of_3,-0.02205315199,0.02194297915,UPRO,True,1,9192,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.05657945341
2023-04-19,2023-04-18,2023-04-18,deployment,recovery_2_of_3,-0.02213896163,0.02213892076,UPRO,True,21,9212,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.04957867791
2023-06-15,2023-06-14,2023-06-14,deployment,recovery_3_of_3,-0.02209797753,0.02209794196,UPRO,True,61,9252,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.0432235732
2025-03-25,2025-03-24,2025-03-24,deployment,recovery_1_of_3,-3.413321318,3.397329421,UPRO,True,1,9696,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,4.668227296
2025-05-13,2025-05-12,2025-05-12,deployment,recovery_1_of_3,-2.267389746,2.256533825,UPRO,True,1,9730,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,3.147704218
2025-06-11,2025-06-10,2025-06-10,deployment,recovery_2_of_3,-2.275257582,2.275034562,UPRO,True,21,9750,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.89834651
2025-08-08,2025-08-07,2025-08-07,deployment,recovery_3_of_3,-2.2688337,2.268638343,UPRO,True,61,9790,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.540342889
2026-04-09,2026-04-08,2026-04-08,deployment,recovery_1_of_3,-4.701359785,4.679397237,UPRO,True,1,9957,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,5.375067462
2026-05-07,2026-05-06,2026-05-06,deployment,recovery_2_of_3,-4.714678603,4.714055239,UPRO,True,21,9977,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,4.267594605
2026-07-07,2026-07-06,2026-07-06,deployment,recovery_3_of_3,-18.16415707,18.15533504,UPRO,True,61,10017,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,16.90816556
