series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,start,end,sessions,reserve_cagr,no_reserve_total_return,no_reserve_cagr,cumulative_log_growth_foregone,transferred_to_reserve,fraction_positive_portfolio_gains_transferred,new_hwm_gains_recognized,next_named_stress,next_stress_3y_post_drawdown_relative_growth_benefit,next_stress_3y_carried_opportunity_cost,next_stress_3y_payback_ratio
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1991-01-21,1991-11-25,215,0.311550632406,0.256965043802,0.311550632406,0,0,0,0,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1991-12-03,1992-10-06,213,0.163427991055,0.136053856419,0.163312204883,-8.3926534664e-05,0.00180730996158,0.00103376759884,0.0180730996158,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1992-10-14,1994-03-30,369,0.127294565311,0.188524510979,0.125894251313,-0.00181041984917,0.0466763733204,0.0159379126148,0.466763733204,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1994-12-15,1996-07-24,405,0.436875080068,0.794100140095,0.43863773623,0.00197029031558,0.143039942269,0.0253744948785,1.43039942269,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1996-07-26,1998-08-28,528,0.482025580895,1.29972996825,0.489826195469,0.0109664732013,0.56672055906,0.0229165129391,5.70683082875,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1998-10-29,1999-09-24,227,0.330299717857,0.295739702519,0.332099635007,0.00122161144557,0.254386693826,0.0117605673302,2.54386693826,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1999-10-29,2000-02-22,78,-0.127551170596,-0.0420644199855,-0.126559164059,0.00036090720058,0,0,0,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2000-05-31,2000-09-26,82,-0.0569332744569,-0.0187593939391,-0.0569332744569,-1.4155343564e-15,0,0,0,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2003-04-15,2004-07-22,319,0.375053336771,0.498704456676,0.375053336771,4.4408920985e-16,0,0,0,2007_2009,-7.1054273576e-15,1.1581592341e-14,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2004-10-28,2005-04-18,117,0.0531414950549,0.0246822922424,0.0531414950549,8.881784197e-16,0,0,0,2007_2009,-7.1054273576e-15,1.1581592341e-14,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2005-05-02,2005-10-11,113,0.0654411486794,0.0285139683442,0.0654411486794,2.22044604925e-16,0,0,0,2007_2009,-7.1054273576e-15,1.1581592341e-14,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2005-10-31,2006-06-13,154,0.0122735507262,0.0075429927995,0.0122735507262,5.6898930012e-16,0,0,0,2007_2009,-7.1054273576e-15,1.1581592341e-14,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2006-07-25,2007-08-06,259,0.26807031348,0.277795723983,0.26807031348,-2.77555756156e-17,0,0,0,2007_2009,-7.1054273576e-15,1.1581592341e-14,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2009-06-01,2010-05-21,246,0.331064265901,0.319391228329,0.331064265901,5.55111512313e-17,0,0,0,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2010-09-13,2011-08-03,225,0.303452647496,0.265018336556,0.303452647496,-1.2490009027e-15,0,0,0,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2011-12-23,2012-11-15,224,0.173406377935,0.15442506832,0.173406377935,1.11022302463e-15,0,0,0,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2012-11-20,2014-10-14,477,0.390383839043,0.87882415023,0.394290942317,0.00532419189146,0.792412196145,0.0196737659206,7.92412196145,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2014-10-21,2015-08-21,210,0.0435753812939,0.0381212815015,0.0459761077602,0.00191250750861,0.17694709946,0.00702065718936,1.7694709946,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2016-03-14,2016-06-28,74,0.0560635381564,0.0160034479276,0.0562314752651,4.61463903126e-05,0,0,0,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2016-06-29,2018-10-12,577,0.28896031384,0.796021336375,0.291939695405,0.00527814584592,1.40659167332,0.019091016535,14.0659167332,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2019-02-13,2019-06-03,75,-0.036789679663,-0.0109663469085,-0.0359521883439,0.000261741695189,0,0,0,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2019-06-05,2020-02-28,185,0.113844397876,0.0790636185158,0.109274263346,-0.00301676525244,0.47011248845,0.0124522325781,4.7011248845,2020,-0.133273166501,0.584592670486,-0.227976116071
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2020-05-27,2022-01-24,419,0.541813795165,1.07248333408,0.550394075924,0.00922279157677,3.6747403973,0.0216216434129,36.747403973,2022,1.32805149387,1.85131596359,0.717355394754
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2023-03-17,2023-10-26,154,0.133401977268,0.0795192232122,0.133516344117,6.16040007723e-05,0,0,0,,,,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2023-11-02,2025-03-11,337,0.381908306285,0.546105387096,0.379226245598,-0.00263285011814,2.21117545355,0.0125295376025,22.1117545355,,,,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,2025-05-13,2026-03-23,215,0.239829008082,0.202876620402,0.239693982766,-9.36303146655e-05,1.57198571772,0.0122186366807,15.7198571772,,,,
