series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
SP500_1X,UPRO,LAG2,10,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG2,10,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,10,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,10,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,10,none,0,0,none,20,240,4.712095541,15.43564798,0.08057793984,0.1466264633,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,10,none,0,0,none,30,120,47.32922741,97.22409013,0.1371954133,0.1648127218,inherited_policy_state
NO_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,20,240,3.73497066,12.77490603,0.06810601239,0.1358319929,inherited_policy_state
NO_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,30,120,40.15152574,91.63542169,0.1309783617,0.162505766,inherited_policy_state
FIXED_90_10,UPRO,LAG2,25,staged,0.15,0.1,quarterly,20,240,3.730909639,11.68317765,0.06804791498,0.130779786,inherited_policy_state
FIXED_90_10,UPRO,LAG2,25,staged,0.15,0.1,quarterly,30,120,35.87981637,74.40268595,0.1267458717,0.1544606381,inherited_policy_state
FIXED_85_15,UPRO,LAG2,25,staged,0.15,0.1,quarterly,20,240,3.698639413,11.05356113,0.06758410648,0.1276402232,inherited_policy_state
FIXED_85_15,UPRO,LAG2,25,staged,0.15,0.1,quarterly,30,120,33.44541944,66.13548378,0.1241102377,0.1499373762,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,20,240,3.705077055,12.61814037,0.06767693857,0.1351310344,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,30,120,40.32277771,90.02135377,0.1311388166,0.1618110909,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,staged,0.2,0.1,rule,20,240,3.636364977,12.19633765,0.06667808685,0.133193397,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,staged,0.2,0.1,rule,30,120,39.74849772,84.16407945,0.1305981179,0.1592296551,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,25,drawdown,0.15,0.1,rule,20,240,4.387005014,12.97968381,0.07673394933,0.1367347849,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,25,drawdown,0.15,0.1,rule,30,120,41.24107924,89.00753563,0.1319881413,0.1613765624,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,25,drawdown,0.2,0.1,rule,20,240,4.59601813,13.94781028,0.07924261772,0.1408311853,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,25,drawdown,0.2,0.1,rule,30,120,44.14642508,94.48124001,0.1345596905,0.1636911227,inherited_policy_state
SP500_1X,UPRO,LAG2,25,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG2,25,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,25,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,25,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,25,none,0,0,none,20,240,3.727442942,12.37027639,0.06798865585,0.1340055863,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,25,none,0,0,none,30,120,34.83391649,71.79612737,0.125635371,0.1530856088,inherited_policy_state
NO_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,20,240,2.556959381,8.867379554,0.04806010938,0.1152858187,inherited_policy_state
NO_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,30,120,24.18564551,54.84859847,0.1120299525,0.1427910149,inherited_policy_state
FIXED_90_10,UPRO,LAG2,50,staged,0.15,0.1,quarterly,20,240,2.656404153,8.490627351,0.05006143219,0.1128683046,inherited_policy_state
FIXED_90_10,UPRO,LAG2,50,staged,0.15,0.1,quarterly,30,120,22.76807439,46.94699752,0.1097934202,0.1368806369,inherited_policy_state
FIXED_85_15,UPRO,LAG2,50,staged,0.15,0.1,quarterly,20,240,2.685140306,8.135944467,0.050626496,0.1105042371,inherited_policy_state
FIXED_85_15,UPRO,LAG2,50,staged,0.15,0.1,quarterly,30,120,21.77874637,42.83701518,0.1081513014,0.1334142778,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,20,240,2.568052828,8.83191369,0.04828699423,0.1150549353,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,30,120,24.62333058,54.6319074,0.112694933,0.1426308333,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,50,staged,0.2,0.1,rule,20,240,2.493191462,8.562217975,0.04673749577,0.1133274826,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,50,staged,0.2,0.1,rule,30,120,24.02202741,50.65222613,0.1117783742,0.1397765715,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,50,drawdown,0.15,0.1,rule,20,240,3.100771085,9.286892981,0.05821395711,0.1178671897,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,50,drawdown,0.15,0.1,rule,30,120,26.09049346,56.30836554,0.1148435409,0.1437899762,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,50,drawdown,0.2,0.1,rule,20,240,3.239088754,9.985853386,0.0605170357,0.1219296225,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,50,drawdown,0.2,0.1,rule,30,120,27.80521476,59.17939228,0.1172113659,0.1456891242,inherited_policy_state
SP500_1X,UPRO,LAG2,50,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG2,50,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,50,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,50,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,50,none,0,0,none,20,240,2.519988278,8.565948836,0.047290536,0.1133670765,inherited_policy_state
