series,fund,lag,cost_bps,average_reserve,rounded_fixed_reserve,fixed_actual_average_reserve,dynamic_cagr,fixed_cagr,exact_average_fixed_cagr,exact_average_fixed_actual_reserve,dynamic_to_exact_average_fixed_terminal_ratio,dynamic_to_fixed_terminal_ratio,fixed_max_drawdown,dynamic_average_effective_exposure,fixed_average_effective_exposure,constant_leverage_cagr,constant_leverage_max_drawdown,constant_leverage_terminal_multiple
HWM_DRAWDOWN,UPRO,LAG2,10,0.0695714762246,0.05,0.0500164903595,0.161625130095,0.159916853204,0.159089541129,0.0695332119468,1.09118430712,1.0605315907,-0.746946790571,2.39442441555,2.43865272265,0.144379651579,-0.941328280658,218.251143042
BAND_DRAWDOWN,UPRO,LAG2,10,0.0728005691849,0.05,0.0500164903595,0.16084573047,0.159916853204,0.158941884009,0.0727505908723,1.06774404071,1.0324835652,-0.746946790571,2.38469896344,2.43865272265,0.144364669735,-0.940284419998,218.137068957
HWM_RESERVE,UPRO,LAG2,25,0.0115417824405,0,0,0.152551761407,0.151459138858,0.151298611672,0.0115690081737,1.04440097491,1.03860221486,-0.78277486853,2.5345881886,2.56397256188,0.14413729305,-0.954710117775,216.412906921
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,0.0339808130627,0.05,0.0500164903595,0.152929642809,0.150435908779,0.150854538398,0.0340189634884,1.07459154771,1.0903182138,-0.74701061839,2.47682644775,2.43865272265,0.144341367164,-0.949557421337,217.95975509
HWM_DRAWDOWN,UPRO,LAG2,25,0.0671980359579,0.05,0.0500164903595,0.15227849829,0.150435908779,0.1498968868,0.0671679208116,1.08613384768,1.06599579149,-0.74701061839,2.40015727164,2.43865272265,0.144386559928,-0.941936188893,218.303763872
BAND_DRAWDOWN,UPRO,LAG2,25,0.0727467776282,0.05,0.0500164903595,0.151615787622,0.150435908779,0.149703829449,0.0726970002813,1.06860663752,1.04178473743,-0.74701061839,2.38482861496,2.43865272265,0.14436489644,-0.940298440639,218.138794693
HWM_RESERVE,UPRO,LAG2,50,0.0103474322644,0,0,0.136400308033,0.134936946803,0.134973536985,0.0103725681176,1.05144953663,1.05280410162,-0.805356589551,2.53805343928,2.56397256188,0.144120379456,-0.955004088339,216.285186034
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,50,0.033978421103,0.05,0.0500164903595,0.136515681693,0.134776986242,0.134918647862,0.0340165730456,1.05776183625,1.06304788756,-0.780129157867,2.47683271477,2.43865272265,0.144341352972,-0.949558006944,217.959647141
HWM_DRAWDOWN,UPRO,LAG2,50,0.0626792540184,0.05,0.0500164903595,0.137371714054,0.134776986242,0.134607791928,0.0626635433878,1.10203917094,1.09549645218,-0.780129157867,2.41185874614,2.43865272265,0.144396229238,-0.94316012657,218.377435687
BAND_DRAWDOWN,UPRO,LAG2,50,0.0726553615482,0.05,0.0500164903595,0.136364040478,0.134776986242,0.134440350066,0.0726059252836,1.07000137043,1.05739834836,-0.780129157867,2.38504892465,2.43865272265,0.144365279997,-0.940322258623,218.141714449
HWM_RESERVE,SSO,LAG1,0,0.0108161337479,0,0,0.157086666907,0.157994975634,0.156972395743,0.0106644713173,1.00395179954,0.969149910624,-0.625548480047,1.76190753103,1.78198628094,0.135299914673,-0.830477560992,158.782625132
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,0.0431170496311,0.05,0.0493086313538,0.153690587166,0.15319708656,0.153868231476,0.0425192786768,0.99387028841,1.01723267356,-0.604243213622,1.70149789131,1.69491912936,0.133550463044,-0.814159505622,149.299077535
HWM_DRAWDOWN,SSO,LAG1,0,0.0616490429135,0.05,0.0493086313538,0.154014301572,0.15319708656,0.15205351335,0.0608005518385,1.07026914219,1.02869342637,-0.604243213622,1.67397566257,1.69491912936,0.132705282878,-0.80631612909,144.917590332
BAND_DRAWDOWN,SSO,LAG1,0,0.0672795065082,0.05,0.0493086313538,0.15289385719,0.15319708656,0.151497321377,0.066355676264,1.04959351267,0.98955298212,-0.604243213622,1.6630919161,1.69491912936,0.132362778649,-0.803141947296,143.177940209
HWM_RESERVE,SSO,LAG1,10,0.0106225987988,0,0,0.150482041289,0.15134140015,0.150412920319,0.0104736407545,1.00240220532,0.970622168002,-0.641699123674,1.76227177276,1.78198628094,0.135310020821,-0.830572298331,158.839079723
