frontier,basis,variant,cell,family,regime,maturity_months,roll_months,moneyness,premium_budget,cagr_p50,cagr_p5,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,option_turnover_per_year,theta_burden_per_year,vega_per_nav,mean_entry_years,cagr_per_volatility_point,on_growth_frontier,on_robust_frontier,on_frontier
SPX fixed budget,fixed,SPX_85_40_24M_R6,SPX_85_40,SPX,24m/6m,24,6,0.85,0.4,0.1436472928,0.06785007019,-0.5166979032,0.2042,1.526676937,0.791462662,-0.03833390826,0.6340959416,2.000433204,0.00696122233,False,False,False
SPX fixed budget,fixed,SPX_85_40_24M_R12,SPX_85_40,SPX,24m/12m,24,12,0.85,0.4,0.1521385178,0.07343769878,-0.5241144404,0.217,1.548190863,0.4007405884,-0.03553031149,0.505004941,2.004928131,0.006741704925,True,False,True
SPX fixed budget,fixed,SPX_85_40_30M_R12,SPX_85_40,SPX,30m/12m,30,12,0.85,0.4,0.1473910148,0.07397363767,-0.49395942,0.1366,1.440076463,0.4007405884,-0.03226409321,0.627833329,2.490759754,0.006464324064,True,False,True
SPX fixed budget,fixed,SPX_85_40_30M_R18,SPX_85_40,SPX,30m/18m,30,18,0.85,0.4,0.1498855346,0.07473272903,-0.5070485368,0.1584,1.459299611,0.2704998971,-0.02707260962,0.4824276784,2.489010571,0.006475068281,True,False,True
SPX fixed budget,fixed,SPX_85_45_15M_R6,SPX_85_45,SPX,15m/6m,15,6,0.85,0.45,0.1599653778,0.06097555611,-0.6296435165,0.6132,1.983349926,0.9016663238,-0.05557424834,0.4934302205,1.24705681,0.009069162186,False,False,False
SPX fixed budget,fixed,SPX_85_45_15M_R12,SPX_85_45,SPX,15m/12m,15,12,0.85,0.45,0.1689160059,0.06414265604,-0.6483654037,0.6866,2.009586655,0.4508331619,-0.0525078759,0.3428453189,1.248596851,0.007522668888,True,False,True
SPX fixed budget,fixed,SPX_85_45_18M_R6,SPX_85_45,SPX,18m/6m,18,6,0.85,0.45,0.1557687204,0.0625132372,-0.6042962959,0.5156,1.877585515,0.9129371528,-0.05226976296,0.5878148391,1.495880549,0.008585157501,False,False,False
SPX fixed budget,fixed,SPX_85_45_18M_R12,SPX_85_45,SPX,18m/12m,18,12,0.85,0.45,0.1648175846,0.06727924343,-0.6150050592,0.5612,1.900800261,0.4621039909,-0.05136597328,0.4608650581,1.491594464,0.007919593972,True,False,True
SPX fixed budget,fixed,SPX_85_45_24M_R6,SPX_85_45,SPX,24m/6m,24,6,0.85,0.45,0.150314856,0.06540460494,-0.5635901306,0.3602,1.713023414,0.8903954948,-0.04320931452,0.7142623888,2.000433204,0.00769085097,False,False,False
SPX fixed budget,fixed,SPX_85_45_24M_R12,SPX_85_45,SPX,24m/12m,24,12,0.85,0.45,0.159569333,0.0710000347,-0.5707886482,0.3866,1.732084218,0.4508331619,-0.04007147485,0.5690858632,2.004928131,0.00741873125,True,False,True
SPX fixed budget,fixed,SPX_85_45_30M_R12,SPX_85_45,SPX,30m/12m,30,12,0.85,0.45,0.1545026001,0.0734559067,-0.5382698265,0.2554,1.611095612,0.4508331619,-0.03649118987,0.7084705145,2.490759754,0.007116744561,False,False,False
SPX fixed budget,fixed,SPX_85_45_30M_R18,SPX_85_45,SPX,30m/18m,30,18,0.85,0.45,0.1573574435,0.07398861048,-0.5511202415,0.2922,1.629614801,0.3043123843,-0.03049759083,0.5419413163,2.489010571,0.007113138273,True,False,True
SPX fixed budget,fixed,SPX_90_30_15M_R6,SPX_90_30,SPX,15m/6m,15,6,0.9,0.3,0.1392029596,0.06303007651,-0.5067351264,0.1898,1.508083306,0.6011108825,-0.05745165601,0.5294764223,1.24705681,0.009703758442,False,False,False
SPX fixed budget,fixed,SPX_90_30_15M_R12,SPX_90_30,SPX,15m/12m,15,12,0.9,0.3,0.1471702775,0.06470626472,-0.5307956363,0.2538,1.554407566,0.3005554413,-0.05373761138,0.3696555833,1.248596851,0.008709142055,False,False,False
SPX fixed budget,fixed,SPX_90_30_18M_R6,SPX_90_30,SPX,18m/6m,18,6,0.9,0.3,0.1359035774,0.06422763489,-0.4817015659,0.1284,1.408219586,0.6086247686,-0.05183694262,0.6002647704,1.495880549,0.008507607054,False,False,False
SPX fixed budget,fixed,SPX_90_30_18M_R12,SPX_90_30,SPX,18m/12m,18,12,0.9,0.3,0.1434425942,0.06742187198,-0.498100831,0.1586,1.450738382,0.3080693273,-0.05074273388,0.4685817879,1.491594464,0.008633497448,False,False,False
SPX fixed budget,fixed,SPX_90_30_24M_R6,SPX_90_30,SPX,24m/6m,24,6,0.9,0.3,0.1311747326,0.06585479998,-0.4455213264,0.0658,1.263389152,0.5935969965,-0.04082503376,0.6832105978,2.000433204,0.00712109364,False,False,False
