variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
SPX_90_40_24M_R12,SPX_90_40,SPX,24m/12m,0.9,0.4,24,12,1.782971358,1.782971358,1,0.4,True,0,0.5729009778,0.5729009778,0,0.1555490678
SPX_90_45_24M_R12,SPX_90_45,SPX,24m/12m,0.9,0.45,24,12,1.990717675,1.990717675,1,0.45,True,0,0.5243742667,0.5243742667,0,0.1625835689
SPX_90_30_30M_R12,SPX_90_30,SPX,30m/12m,0.9,0.3,30,12,1.360705437,1.225079169,0.9003265043,0.3346227063,True,0.03462270633,0.6881156223,0.6521213515,-0.03599427073,0.1339375531
SPX_90_35_30M_R12,SPX_90_35,SPX,30m/12m,0.9,0.35,30,12,1.573129824,1.42094235,0.9032581596,0.3891115114,True,0.03911151145,0.6387868972,0.5984223532,-0.04036454402,0.1430073511
SPX_90_40_30M_R12,SPX_90_40,SPX,30m/12m,0.9,0.4,30,12,1.782971358,1.615498209,0.9060707575,0.4432492243,True,0.04324922433,0.58992341,0.545584674,-0.04433873608,0.1504505676
SPX_90_45_30M_R12,SPX_90_45,SPX,30m/12m,0.9,0.45,30,12,1.990717675,1.809112258,0.9087738963,0.4968988221,False,0.04689882209,0.5414300727,0.4936380961,-0.04779197653,0.1578984948
SPX_90_30_30M_R18,SPX_90_30,SPX,30m/18m,0.9,0.3,30,18,1.360705437,1.289024749,0.947320937,0.318427729,True,0.01842772899,0.6570827287,0.6360187736,-0.02106395514,0.1363856289
SPX_90_35_30M_R18,SPX_90_35,SPX,30m/18m,0.9,0.35,30,18,1.573129824,1.483516126,0.9430347723,0.3735006862,True,0.02350068623,0.6064263452,0.5799999138,-0.02642643134,0.1455816311
SPX_90_40_30M_R18,SPX_90_40,SPX,30m/18m,0.9,0.4,30,18,1.782971358,1.674178002,0.9389819944,0.4290242448,True,0.02902424485,0.5570428475,0.5249016053,-0.03214124213,0.1536330407
SPX_90_45_30M_R18,SPX_90_45,SPX,30m/18m,0.9,0.45,30,18,1.990717675,1.861596067,0.9351381615,0.4844474819,False,0.03444748192,0.5087701838,0.4711665611,-0.03760362269,0.1611320384
