strategy,family,underlying,moneyness,premium_budget,cagr,annualized_volatility,max_drawdown,terminal_multiple,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,cohort_20y_min_cagr_post_proxy,cohort_20y_entries_post_proxy,cagr_one_point_cheaper,cagr_one_point_dearer,cagr_per_volatility_point
NDX_90_25,NDX LEAPS,NASDAQ100_1X,0.9,0.25,0.1656897694,0.2142258832,-0.5166455873,455.4046405,0.9270742972,0.2845311671,0.7154688329,1.64254313,0.01563456241,0.1206135455,0.1600256806,0.157393259,0.175643535,-0.3590063871,-0.4316948841,-0.1832800085,-0.09980577561,-0.4668743222,0.1206135455,90,0.17145963,0.160209518,0.005625055983
NDX_90_30,NDX LEAPS,NASDAQ100_1X,0.9,0.3,0.1822416619,0.247396867,-0.5631561997,799.6055464,1.097660393,0.3357027859,0.6642972141,1.761957607,0.0008599486933,0.1236044366,0.1727288639,0.1681398811,0.1907970923,-0.4065241091,-0.5321407035,-0.2562222036,-0.1440262682,-0.4972807454,0.1236044366,90,0.1889652131,0.1758539508,0.006555631155
NDX_90_35,NDX LEAPS,NASDAQ100_1X,0.9,0.35,0.1972578627,0.2816725758,-0.6408197806,1323.512737,1.26501064,0.3855677042,0.6144322958,1.879442935,-0.01528819238,0.1250558732,0.1817166264,0.1774066034,0.2044373937,-0.4485328308,-0.6175560442,-0.325313338,-0.1869796067,-0.5274439124,0.1250558732,90,0.2048790342,0.1900157584,0.007431637906
NDX_90_40,NDX LEAPS,NASDAQ100_1X,0.9,0.4,0.2107429388,0.3167340744,-0.7090128803,2069.84789,1.429699212,0.4343183207,0.5656816793,1.995380892,-0.03284892395,0.124944211,0.1892506203,0.1852031713,0.2179124849,-0.4859380945,-0.6899419599,-0.3908280591,-0.228719488,-0.5573667309,0.124944211,90,0.2192067823,0.2026984875,0.008254147427
NDX_90_45,NDX LEAPS,NASDAQ100_1X,0.9,0.45,0.2226780414,0.3524719563,-0.7677710148,3062.176511,1.592262458,0.4821289295,0.5178710705,2.110133529,-0.05234931617,0.1232239561,0.193667917,0.1915144322,0.2291854308,-0.5194572871,-0.7510214438,-0.4530090189,-0.2692966172,-0.5870520621,0.1232239561,90,0.2319294166,0.2138834866,0.009022965007
NDX_90_50,NDX LEAPS,NASDAQ100_1X,0.9,0.5,0.2330197511,0.3889024637,-0.8165174071,4286.241644,1.753216054,0.5291614803,0.4708385197,2.224054574,-0.07350984215,0.119824791,0.1961374359,0.1962995239,0.2388697865,-0.5496660962,-0.8022861058,-0.5120714017,-0.3087589131,-0.6165027222,0.119824791,90,0.2430019811,0.2235287811,0.009736599969
NDX_95_20,NDX LEAPS,NASDAQ100_1X,0.95,0.2,0.1524314234,0.1941129454,-0.4926141207,288.4356646,0.814660019,0.2331291364,0.7668708636,1.581530883,0.02478192183,0.1173451183,0.1492680455,0.147352893,0.1635905956,-0.3285517404,-0.3263254124,-0.1175598585,-0.06058853038,-0.4403948365,0.1173451183,90,0.1583415652,0.1469182411,0.005711662026
NDX_95_25,NDX LEAPS,NASDAQ100_1X,0.95,0.25,0.1711919316,0.2285264203,-0.5235718589,549.603831,1.002296538,0.285707863,0.714292137,1.716588675,0.01021991999,0.121779431,0.1634445281,0.1596887008,0.1806049662,-0.3844681152,-0.4445363181,-0.1960304566,-0.1073227689,-0.472041471,0.121779431,90,0.1783368005,0.1645241258,0.006906337356
NDX_95_30,NDX LEAPS,NASDAQ100_1X,0.95,0.3,0.1882064225,0.264466518,-0.5757881937,977.5515384,1.185505582,0.3366709318,0.6633290682,1.84883465,-0.005714123025,0.1245468701,0.1757841325,0.1703625125,0.1965376326,-0.4329914807,-0.544836191,-0.2699275653,-0.1525999193,-0.5034229381,0.1245468701,90,0.1965079276,0.1804564852,0.008025721172
NDX_95_35,NDX LEAPS,NASDAQ100_1X,0.95,0.35,0.2035154155,0.3013000162,-0.6542581463,1629.743098,1.365046173,0.386261518,0.613738482,1.978784655,-0.0230339747,0.1256540289,0.1847734303,0.1794222145,0.2114459995,-0.4754971249,-0.6297232855,-0.3396261118,-0.1964870795,-0.5345425569,0.1256540289,90,0.2128997759,0.1947520008,0.009073887541
NDX_95_40,NDX LEAPS,NASDAQ100_1X,0.95,0.4,0.2171312278,0.3387677931,-0.730831212,2553.80598,1.541602989,0.4346928711,0.5653071289,2.106910118,-0.04177591407,0.1250844873,0.1917121925,0.1868857955,0.2251661017,-0.513039135,-0.7013208998,-0.4054525412,-0.2390472901,-0.5654035909,0.1250844873,90,0.2275270159,0.2074209206,0.01005304762
NDX_95_45,NDX LEAPS,NASDAQ100_1X,0.95,0.45,0.229039181,0.3768083479,-0.7928026736,3767.10955,1.71581134,0.4821567306,0.5178432694,2.233654609,-0.06241535964,0.122797622,0.1956177505,0.1927433151,0.2367263002,-0.5464389953,-0.7614451765,-0.4676924076,-0.2803398363,-0.5960092498,0.122797622,90,0.2403755646,0.2184480951,0.01096373477
NDX_95_50,NDX LEAPS,NASDAQ100_1X,0.95,0.5,0.23919661,0.4154776742,-0.8425598106,5232.672547,1.888279086,0.5288302398,0.4711697602,2.359448846,-0.08476692252,0.1187256868,0.1977888685,0.1969564137,0.2460275702,-0.5763463928,-0.811658706,-0.5265965821,-0.3204205234,-0.6263626905,0.1187256868,90,0.2514016136,0.2277919782,0.0118048177
