series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag
BAND_DRAWDOWN,UPRO,LAG1,10,drawdown,0.2,0.1,rule,8,11,0,261,280,280,0.8644719693,241.487787,242.3522589,10.73043984,0.2424642724,0.2153082177,0.2153097924,0.007124461186
SP500_1X,UPRO,LAG1,10,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG1,10,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG1,10,none,0,0,none,0,0,0,261,261,261,0,261,261,8.252623499,0.2611305871,0.2298196625,0.2298196625,0.007581512778
NO_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,22.65835733,0.6533169869,0.4796829736,0.4796829736,0.01918075409
FIXED_90_10,UPRO,LAG1,25,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.027946725,232.2595787,234.2355711,17.75186089,0.5862360333,0.4435823142,0.4435823142,0.01709325379
FIXED_85_15,UPRO,LAG1,25,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.871478048,218.1617701,220.9603371,15.42438452,0.5529720053,0.424762342,0.424762342,0.01605991824
HWM_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,543,107,0,261,844,844,1.201345029,259.1051138,259.9290807,22.80001477,0.6506280649,0.4782819989,0.4722213129,0.01876607248
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,staged,0.2,0.1,rule,25,99,0,261,325,325,4.493511284,256.237276,259.765131,21.24399845,0.6502019497,0.4780596396,0.4780503426,0.01903769414
HWM_DRAWDOWN,UPRO,LAG1,25,drawdown,0.15,0.1,rule,566,11,0,261,837,837,1.029357901,240.4425423,241.4712629,21.561723,0.6043732347,0.4535832056,0.4350943883,0.01674445947
BAND_DRAWDOWN,UPRO,LAG1,25,drawdown,0.2,0.1,rule,8,11,0,261,280,280,0.864458832,241.5181036,242.3825624,20.04500397,0.6066573201,0.4548298439,0.454832584,0.0177447902
SP500_1X,UPRO,LAG1,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG1,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG1,25,none,0,0,none,0,0,0,261,261,261,0,261,261,15.25922548,0.6533169869,0.4796829736,0.4796829736,0.01887528805
NO_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,27.22945025,1.308273416,0.7297136742,0.7297136742,0.03809723191
FIXED_90_10,UPRO,LAG1,50,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.027946725,232.2595787,234.2355711,22.55370605,1.173770131,0.6908009799,0.6908009799,0.03397443442
FIXED_85_15,UPRO,LAG1,50,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.871478048,218.1617701,220.9603371,20.15211852,1.10708953,0.6694804704,0.6694804704,0.03193157124
HWM_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,477,107,0,261,778,778,1.076606443,259.2377617,259.963138,27.5269372,1.303045755,0.7282970093,0.7240667765,0.03750480375
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,25,99,0,261,325,325,4.494236229,256.2380806,259.7668201,25.66707617,1.301995798,0.728011583,0.7280018741,0.03781342211
HWM_DRAWDOWN,UPRO,LAG1,50,drawdown,0.15,0.1,rule,505,11,0,261,776,776,0.950881011,242.0708695,243.0211131,27.390967,1.217927746,0.7041574069,0.6845435385,0.03358232066
BAND_DRAWDOWN,UPRO,LAG1,50,drawdown,0.2,0.1,rule,8,11,0,261,280,280,0.8644368475,241.5694089,242.4338457,24.99954497,1.214978455,0.7032835929,0.703286585,0.0352696168
SP500_1X,UPRO,LAG1,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG1,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG1,50,none,0,0,none,0,0,0,261,261,261,0,261,261,18.79369062,1.308273416,0.7297136742,0.7297136742,0.03749050861
NO_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,0,0,0,261,261,0,0,261,261,0,0,0,0,0
FIXED_90_10,UPRO,LAG2,0,staged,0.15,0.1,quarterly,104,0,56,261,417,0,2.0592071,232.4530976,234.4493698,0,0,0,0,0
FIXED_85_15,UPRO,LAG2,0,staged,0.15,0.1,quarterly,104,0,56,261,417,0,2.914910818,218.4356488,221.262372,0,0,0,0,0
HWM_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,633,122,0,261,937,0,1.377706048,258.8906067,259.8483171,0,0,0,0,0
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,staged,0.2,0.1,rule,29,114,0,261,332,0,5.105724377,255.2611007,259.2067969,0,0,0,0,0
HWM_DRAWDOWN,UPRO,LAG2,0,drawdown,0.15,0.1,rule,659,11,0,261,930,0,1.13739267,239.1785887,240.315345,0,0,0,0,0
BAND_DRAWDOWN,UPRO,LAG2,0,drawdown,0.2,0.1,rule,11,11,0,261,283,0,1.182471328,236.4379785,237.6204498,0,0,0,0,0
SP500_1X,UPRO,LAG2,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG2,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG2,0,none,0,0,none,0,0,0,261,261,0,0,261,261,0,0,0,0,0
NO_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,17.20090588,0.2611305871,0.2298196625,0.2298196625,0.007761015313
FIXED_90_10,UPRO,LAG2,10,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.0592071,232.4530976,234.4493698,12.61258456,0.234552989,0.2090756775,0.2090756775,0.006915497443
FIXED_85_15,UPRO,LAG2,10,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.914910818,218.4356488,221.262372,10.59344178,0.2213539148,0.1985670089,0.1985670089,0.006496928175
