series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,terminal_ratio_vs_no_reserve
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.258199896195,-0.448819840058,19.8005434575,12.9993155373,0.271143814837,0.780869944705,694,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.176959934839,1995,0.748832811145,-0.380861743523,0.0542399117978,0.168902787085,0,0,1
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0222946321231,-0.625548480047,0.798117055028,10.0013689254,0.288567730528,-0.0295539041204,2612,2007-07-13,2009-03-09,,False,,,2008,-0.374784077534,2009,0.511652729091,-0.486650234725,-0.121410896623,-0.0222946321231,0,0,1
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.193968198057,-0.320152589446,5.88602626378,9.99863107461,0.247985295005,0.817575391301,550,2010-04-23,2010-08-26,2011-02-01,True,159,284,2018,-0.0942677211198,2013,0.705373768395,-0.170308133776,0.117500724468,0.193968198057,0,0,1
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.227783737667,-0.456749412221,3.93218416264,6.67214236824,0.297919146483,0.743148883876,765,2020-02-19,2020-03-23,2020-09-01,True,162,195,2022,-0.307970196319,2021,0.604506432733,-0.324057826813,0.157786247023,,0,0,1
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.207388944858,-0.456749412221,23.1449392553,16.6707734428,0.269032082192,0.781343559051,765,2020-02-19,2020-03-23,2020-09-01,True,162,195,2022,-0.307970196319,2013,0.705373768395,-0.324057826813,0.0435852156587,0.122049534367,0,0,1
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.240498537118,-0.407496126424,16.4697600078,12.9993155373,0.243579166758,0.781510887404,689,1987-08-25,1987-10-19,1989-07-14,True,634,689,1990,-0.150609174186,1995,0.667878005055,-0.340754187142,0.0592441085207,0.160002335324,0,0,0.831783230754
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0148759486666,-0.581959554583,0.860796143216,10.0013689254,0.25805216483,-0.0360994536651,2589,2007-07-13,2009-03-09,,False,,,2008,-0.341215952385,2009,0.458340280632,-0.446491988543,-0.105262625999,-0.0148759486666,0,0,1.07853370354
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.176601837056,-0.290852835829,5.08391797237,9.99863107461,0.223029741907,0.816658258551,546,2010-04-23,2010-08-26,2011-02-01,True,159,284,2011,-0.0804251767539,2013,0.622873838143,-0.153932548738,0.108001044172,0.176601837056,0,0,0.863726688351
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.211449464771,-0.414625414637,3.59604268041,6.67214236824,0.267432394486,0.745044460831,760,2020-02-19,2020-03-23,2020-08-28,True,158,191,2022,-0.278126563356,2021,0.535554749652,-0.293387669008,0.148001234389,,0,0,0.914515325751
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.190426945632,-0.414625414637,18.2819860123,16.6707734428,0.24173501642,0.781775997512,760,2020-02-19,2020-03-23,2020-08-28,True,158,191,2022,-0.278126563356,2013,0.622873838143,-0.293387669008,0.045045147618,0.114149368018,0,0,0.789891293758
