signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
price,2,2018-11-07,2018-11-08,2018-11-09,UPRO,-0.02745722244,-0.009027321276,1,False,2018
price,2,2018-11-12,2018-11-13,2018-11-14,risk_off,-0.02206203582,-0.007308150308,0,False,2018
price,2,2018-12-03,2018-12-04,2018-12-06,UPRO,-0.004287971113,-0.001208971845,1,False,2018
price,2,2018-12-04,2018-12-06,2018-12-07,risk_off,-0.06980961015,-0.02316089503,0,False,2018
price,2,2019-02-12,2019-02-13,2019-02-14,UPRO,-0.007700770077,-0.002304084095,1,False,
price,2,2019-03-07,2019-03-08,2019-03-11,risk_off,0.04360400445,0.01467753042,1,True,
price,2,2019-03-11,2019-03-12,2019-03-13,UPRO,0.02091696598,0.01004001225,1,False,
price,2,2019-05-31,2019-06-03,2019-06-04,risk_off,0.06424706943,0.02148604357,0,False,
price,2,2019-06-04,2019-06-05,2019-06-06,UPRO,0.01881331404,0.00640867564,1,False,
price,2,2020-02-27,2020-02-28,2020-03-02,risk_off,0.1375559128,0.04606164235,0,False,2020
price,2,2020-03-02,2020-03-03,2020-03-04,UPRO,0.1266359054,0.04225741539,1,False,2020
price,2,2020-03-03,2020-03-04,2020-03-05,risk_off,-0.1014706097,-0.0337140057,0,False,2020
price,2,2020-03-04,2020-03-05,2020-03-06,UPRO,-0.05121286999,-0.01702199827,1,False,2020
price,2,2020-03-05,2020-03-06,2020-03-09,risk_off,-0.228085239,-0.0758675853,0,False,2020
price,2,2020-05-27,2020-05-28,2020-05-29,UPRO,0.01475374677,0.004968523414,1,False,2020
price,2,2020-06-11,2020-06-12,2020-06-15,risk_off,0.02494654144,0.008346952851,1,True,2020
price,2,2020-06-12,2020-06-15,2020-06-16,UPRO,0.05692477575,0.01897954862,1,False,2020
price,2,2020-06-26,2020-06-29,2020-06-30,risk_off,0.04618434745,0.01549057522,1,True,2020
price,2,2020-06-29,2020-06-30,2020-07-01,UPRO,0.01516498716,0.005052190077,1,False,2020
total_return,1,2010-05-20,2010-05-20,2010-05-21,risk_off,0.04510433368,0.01503400172,0,False,2010
total_return,1,2010-05-27,2010-05-27,2010-05-28,UPRO,-0.03710184017,-0.01234851117,0,True,2010
total_return,1,2010-05-28,2010-05-28,2010-06-01,risk_off,-0.05160146253,-0.01712173094,0,False,2010
total_return,1,2010-06-02,2010-06-02,2010-06-03,UPRO,0.01220635158,0.004092574005,0,True,2010
total_return,1,2010-06-04,2010-06-04,2010-06-07,risk_off,-0.04064350237,-0.01347669461,0,False,2010
total_return,1,2010-06-15,2010-06-15,2010-06-16,UPRO,-0.001710987508,-0.0005337996895,1,False,2010
total_return,1,2010-06-22,2010-06-22,2010-06-23,risk_off,-0.009215686275,-0.002963708059,0,False,2010
total_return,1,2010-07-26,2010-07-26,2010-07-27,UPRO,-0.003073577687,-0.001044478608,1,False,2010
total_return,1,2010-07-29,2010-07-29,2010-07-30,risk_off,0.0002167785822,5.992804909e-05,0,False,2010
total_return,1,2010-08-02,2010-08-02,2010-08-03,UPRO,-0.01443470844,-0.004787152803,1,False,2010
total_return,1,2010-08-11,2010-08-11,2010-08-12,risk_off,-0.01593107016,-0.005239041514,0,False,2010
total_return,1,2010-09-10,2010-09-10,2010-09-13,UPRO,0.03423796013,0.01149347871,0,True,2010
total_return,1,2011-08-02,2011-08-02,2011-08-03,risk_off,0.01615557218,0.005377485999,0,False,2011
total_return,1,2011-10-27,2011-10-27,2011-10-28,UPRO,0.001216545073,0.0004144970078,1,False,2011
total_return,1,2011-10-31,2011-10-31,2011-11-01,risk_off,-0.08368887431,-0.02793902646,0,False,2011
total_return,1,2011-11-08,2011-11-08,2011-11-09,UPRO,-0.1100545596,-0.03660302701,1,False,2011
total_return,1,2011-11-09,2011-11-09,2011-11-10,risk_off,0.02644946569,0.008760045147,0,False,2011
total_return,1,2011-11-11,2011-11-11,2011-11-14,UPRO,-0.02853918091,-0.009428939348,0,True,2011
total_return,1,2011-11-14,2011-11-14,2011-11-15,risk_off,0.01510373457,0.004999771484,0,False,2011
total_return,1,2011-12-05,2011-12-05,2011-12-06,UPRO,0.003139976797,0.001123213699,0,True,2011
total_return,1,2011-12-08,2011-12-08,2011-12-09,risk_off,0.05048034949,0.01688708318,0,False,2011
total_return,1,2011-12-09,2011-12-09,2011-12-12,UPRO,-0.04472896581,-0.01486885275,0,True,2011
total_return,1,2011-12-12,2011-12-12,2011-12-13,risk_off,-0.0257615317,-0.008489965724,0,False,2011
total_return,1,2011-12-22,2011-12-22,2011-12-23,UPRO,0.02691857535,0.009042564536,0,True,2011
total_return,1,2012-11-14,2012-11-14,2012-11-15,risk_off,-0.004772004242,-0.001525480263,0,False,
total_return,1,2012-11-19,2012-11-19,2012-11-20,UPRO,0.002229378251,0.0007494712232,1,False,
total_return,1,2014-10-13,2014-10-13,2014-10-14,risk_off,0.005082212257,0.001586159203,0,False,
total_return,1,2014-10-20,2014-10-20,2014-10-21,UPRO,0.05887396399,0.0195944014,0,True,
total_return,1,2015-08-20,2015-08-20,2015-08-21,risk_off,-0.09511125038,-0.03169459007,0,False,2015-2016
total_return,1,2015-10-22,2015-10-22,2015-10-23,UPRO,0.03305137843,0.01103521072,0,True,2015-2016
total_return,1,2015-11-12,2015-11-12,2015-11-13,risk_off,-0.03363866077,-0.01119473106,0,False,2015-2016
total_return,1,2015-11-16,2015-11-16,2015-11-17,UPRO,-0.003440187678,-0.001128408917,0,True,2015-2016
total_return,1,2015-12-11,2015-12-11,2015-12-14,risk_off,0.01446624543,0.004822944486,0,False,2015-2016
total_return,1,2015-12-16,2015-12-16,2015-12-17,UPRO,-0.04474885845,-0.0148872626,1,False,2015-2016
total_return,1,2015-12-17,2015-12-17,2015-12-18,risk_off,-0.05353728489,-0.01779599394,0,False,2015-2016
total_return,1,2015-12-23,2015-12-23,2015-12-24,UPRO,-0.004952027252,-0.00159646496,1,False,2015-2016
total_return,1,2016-01-04,2016-01-04,2016-01-05,risk_off,0.005846976295,0.002013841202,0,False,2015-2016
total_return,1,2016-03-11,2016-03-11,2016-03-14,UPRO,-0.003672174912,-0.001194725092,1,False,2015-2016
total_return,1,2016-06-27,2016-06-27,2016-06-28,risk_off,0.05397923875,0.01799250703,0,False,2015-2016
total_return,1,2016-06-28,2016-06-28,2016-06-29,UPRO,0.0513788575,0.01716009093,1,False,2015-2016
total_return,1,2018-10-11,2018-10-11,2018-10-12,risk_off,0.04256684492,0.01431418945,0,False,2018
total_return,1,2018-10-12,2018-10-12,2018-10-15,UPRO,-0.01784981535,-0.00588300429,1,False,2018
total_return,1,2018-10-23,2018-10-23,2018-10-24,risk_off,-0.09277695404,-0.0308639409,0,False,2018
