variant,structure,family,maturity_months,roll_months,channel,metric,value,control_value,difference,ratio
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_30y,0.131,0.1410470157,-0.01004701567,0.9287683215
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,theta,theta_burden_per_year,-0.03919294411,-0.04195014692,0.002757202808,0.9342742991
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,vega,vega_per_nav,0.3523720309,0.3194650173,0.03290701359,1.103006626
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,mean_delta_exposure,0.969142799,1.013023415,-0.04388061623,0.9566835124
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_sd,0.247491749,0.2569186794,-0.009426930326,0.963307727
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p5,0.5544719616,0.5303461917,0.02412576991,1.045490606
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p50,0.9724932103,1.02262047,-0.05012725994,0.9509815602
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p95,1.413917624,1.45624946,-0.04233183638,0.970930917
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,delta instability,min_exposure_after_loss,0.04030363242,0.06980055974,-0.02949692732,0.5774113069
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,roll frequency,rolls,40,40,0,1
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,roll frequency,option_turnover_per_year,0.3005554413,0.3005554413,0,1
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,roll frequency,cost_drag_bps,83.46710216,83.02821615,0.4388860187,1.005285986
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,roll frequency,mean_premium_fraction_of_nav,0.3,0.3,0,1
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,roll frequency,mean_exit_premium_ratio,1.546644447,1.561671523,-0.01502707588,0.9903775694
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,recovery,recovery_exposure,1.006343965,0.4792835511,0.5270604134,2.099683918
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,recovery,recovery_exposure_ratio,1.038385639,0.4731218883,0.5652637506,2.194752905
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_10y,0.1664056382,0.1512859304,0.01511970781,1.099941269
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_20y,0.1493860846,0.1380823768,0.01130370781,1.08186206
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_30y,0.1554144385,0.1410470157,0.01436742283,1.10186265
