case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,on_growth_frontier,on_robust_frontier,on_frontier,adjacent_lower_risk,prob_beat_adjacent_lower_risk
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,0.1456038436,-0.444880206,-0.8831393214,0.002133333333,0.09546666667,0.09546666667,0.05643895621,2.998390293,0.07510925962,4.25649421,0.1434371471,14.59640638,0.2189713027,52.46499424,0.2397928914,73.61780065,-0.5726159533,-0.6165358916,0.7166,0.2741333333,0.06606666667,0.0028,1.362648605,0.3684259568,0.6315740432,1.993163963,False,False,False,NDX_80_30,0.4387333333
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,0.1544091529,-0.4905497563,-0.9071227952,0.004266666667,0.0758,0.0758,0.05394439863,2.859920956,0.07491838451,4.241405697,0.1517097667,16.86013392,0.2372492546,70.65518189,0.2608750992,103.1433802,-0.6253158131,-0.6689598911,0.8724,0.46,0.1438,0.01093333333,1.547767267,0.4174348492,0.5825651508,2.129157006,False,False,False,NDX_80_35,0.4244
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,0.16233093,-0.5355420765,-0.9267639258,0.006266666667,0.07453333333,0.07453333333,0.04960767964,2.633540447,0.07328938915,4.114686183,0.1595754984,19.31882041,0.2551086618,94.10799833,0.2812506224,142.1287015,-0.6760891815,-0.720752346,0.9512,0.6558,0.2672666667,0.0292,1.731750894,0.465975357,0.534024643,2.264527678,False,False,False,NDX_80_40,0.4158666667
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,0.1693573388,-0.5799035913,-0.9425589227,0.01006666667,0.0836,0.0836,0.04449443727,2.388485651,0.07080440014,3.928284592,0.1662521088,21.66949753,0.2719000422,122.7607789,0.300928331,192.7824224,-0.7252298733,-0.7689552447,0.9838,0.8135333333,0.4230666667,0.069,1.914761325,0.514070835,0.485929165,2.399198574,False,False,False,NDX_90_40,0.413
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,0.1400138252,-0.4260939728,-0.8849992087,0.002533333333,0.1482666667,0.1482666667,0.0548106895,2.907304071,0.07192363396,4.011224125,0.1376167679,13.18013002,0.2109143782,45.94822298,0.2317143265,64.59514213,-0.5527460855,-0.5940351347,0.6283333333,0.2137333333,0.04526666667,0.0016,1.295000191,0.3188899373,0.6811100627,1.975499357,False,False,False,,
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_90_35,SP500 LEAPS,SP500_1X,0.9,0.35,0.1497556581,-0.4744555549,-0.9073276984,0.004733333333,0.1064666667,0.1064666667,0.05125632923,2.717518263,0.07170813343,3.995126494,0.1468325008,15.48816072,0.2313197977,64.18259136,0.2551320727,94.14311135,-0.60818719,-0.6513788223,0.8256,0.3920666667,0.1118,0.007,1.499292353,0.3681902939,0.6318097061,2.130129903,False,False,False,NDX_85_30,0.4342
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_90_40,SP500 LEAPS,SP500_1X,0.9,0.4,0.1584636857,-0.5222719126,-0.9284522405,0.006466666667,0.0966,0.0966,0.04769213395,2.53906411,0.07057620618,3.911575837,0.1549786599,17.84346532,0.2508321073,87.89828691,0.277703491,134.4626389,-0.6621663817,-0.7078627131,0.9344666667,0.595,0.2291333333,0.0218,1.701846687,0.4168724584,0.5831275416,2.28358106,False,False,False,NDX_85_35,0.4197333333
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_90_45,SP500 LEAPS,SP500_1X,0.9,0.45,0.1661371992,-0.5692821115,-0.9455262413,0.01113333333,0.1014,0.1014,0.04228000368,2.289223085,0.06773374358,3.70902157,0.1621017499,20.17823161,0.2694177828,118.0569507,0.2990841356,187.3896433,-0.7140920023,-0.7588994792,0.9795333333,0.7760666667,0.3835333333,0.05786666667,1.903389472,0.4650392591,0.5349607409,2.436887597,False,False,False,NDX_85_40,0.4108666667
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_90_50,SP500 LEAPS,SP500_1X,0.9,0.5,0.1727638609,-0.6152312402,-0.9588037894,0.01653333333,0.1148666667,0.1148666667,0.03539430689,2.005005173,0.06429014199,3.476968825,0.1683087734,22.44671336,0.2868058337,154.9745645,0.3203358386,259.2317766,-0.7634901794,-0.8042317036,0.9957333333,0.8969333333,0.5598666667,0.1206,2.104026518,0.5128483273,0.4871516727,2.589708826,False,False,False,NDX_85_45,0.4054
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_95_30,SP500 LEAPS,SP500_1X,0.95,0.3,0.1427226279,-0.4531118556,-0.907454488,0.0046,0.1599333333,0.1599333333,0.04929377435,2.617832906,0.06782703794,3.71550883,0.1394957923,13.62242792,0.2208580571,54.11323397,0.2445308988,79.45361789,-0.5854870286,-0.6272515461,0.7480666667,0.3125333333,0.08066666667,0.004,1.418062199,0.318384996,0.681615004,2.098904471,False,False,False,NDX_85_30,0.3577333333
